"","turnover","extinction.fraction","net.div","speciation","extinction","treeName","taxon_id_in_phy","tipName","nturnover","neps","AIC","AICc","AIC_weight","AICc_weight","deltaAIC","deltaAICc","root_type","elapsed_mins_recon","elapsed_mins_params_all_models_together","eps","fixed.eps"
"1",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",1,"A360",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"2",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",2,"A359",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"3",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",3,"A357",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"4",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",4,"A356",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"5",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",5,"A353",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"6",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",6,"A350",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"7",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",7,"A347",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"8",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",8,"A346",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"9",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",9,"A344",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"10",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",10,"A343",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"11",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",11,"A341",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"12",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",12,"A339",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"13",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",13,"A338",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"14",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",14,"A333",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"15",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",15,"A317",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"16",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",16,"A315",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"17",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",17,"A308",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"18",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",18,"A307",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"19",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",19,"A305",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"20",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",20,"A299",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"21",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",21,"A297",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
"22",0.0442827523430386,0,0.0442827523430386,0.0442827523430386,0,"RaboskyEtAl2017_331",22,"A296",1,1,940.712472754889,940.747560474187,0.415711212519081,0.443274700233654,0,0,"madfitz",0.287300666173299,7.31503901481628,NA,NA
