"treeName","setname","source","description","nTips_all","processType","regimeMRCA","regimeTime","regime_nTips","K","sigma","lambda0","lambda1","mu0","mu1"
"Rabosky2014_DD_k1_1","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",142,"pure-birth",143,0,142,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_1","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",142,"diversity-dependent",167,67.1706,108,181.639,NA,0.186276,NA,0.0480981,NA
"Rabosky2014_DD_k1_2","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",67,"pure-birth",68,0,67,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_2","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",67,"diversity-dependent",73,55.2563,34,49.0419,NA,0.167492,NA,0.0484504,NA
"Rabosky2014_DD_k1_3","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",267,"pure-birth",268,0,267,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_3","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",267,"diversity-dependent",275,55.2146,227,227.597,NA,0.329403,NA,0.0454748,NA
"Rabosky2014_DD_k1_4","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",324,"pure-birth",325,0,324,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_4","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",324,"diversity-dependent",403,43.8895,189,204.057,NA,0.144447,NA,0.0164122,NA
"Rabosky2014_DD_k1_5","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",160,"pure-birth",161,0,160,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_5","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",160,"diversity-dependent",216,70.2821,105,107.683,NA,0.325668,NA,0.0292806,NA
"Rabosky2014_DD_k1_6","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",120,"pure-birth",121,0,120,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_6","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",120,"diversity-dependent",126,75.8989,58,74.8466,NA,0.342174,NA,0.0101393,NA
"Rabosky2014_DD_k1_7","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",133,"pure-birth",134,0,133,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_7","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",133,"diversity-dependent",185,60.0735,48,51.1098,NA,0.179913,NA,0.0211701,NA
"Rabosky2014_DD_k1_8","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",67,"pure-birth",68,0,67,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_8","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",67,"diversity-dependent",92,59.1336,27,27.9819,NA,0.207773,NA,0.0124234,NA
"Rabosky2014_DD_k1_9","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",309,"pure-birth",310,0,309,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_9","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",309,"diversity-dependent",395,40.9159,224,215.062,NA,0.341397,NA,0.0442609,NA
"Rabosky2014_DD_k1_10","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",333,"pure-birth",334,0,333,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_10","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",333,"diversity-dependent",409,59.2012,243,242.129,NA,0.355393,NA,0.0493811,NA
"Rabosky2014_DD_k1_11","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",264,"pure-birth",265,0,264,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_11","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",264,"diversity-dependent",274,49.5467,229,248.383,NA,0.152292,NA,0.00201105,NA
"Rabosky2014_DD_k1_12","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",268,"pure-birth",269,0,268,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_12","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",268,"diversity-dependent",276,48.1529,198,190.9,NA,0.280901,NA,0.0427641,NA
"Rabosky2014_DD_k1_13","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",142,"pure-birth",143,0,142,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_13","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",142,"diversity-dependent",171,77.4672,103,192.646,NA,0.330094,NA,0.00474726,NA
"Rabosky2014_DD_k1_14","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",108,"pure-birth",109,0,108,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_14","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",108,"diversity-dependent",114,42.8945,45,62.7559,NA,0.124318,NA,0.0363574,NA
"Rabosky2014_DD_k1_15","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",63,"pure-birth",64,0,63,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_15","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",63,"diversity-dependent",89,63.0555,37,202.604,NA,0.171396,NA,0.0207913,NA
"Rabosky2014_DD_k1_16","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",183,"pure-birth",184,0,183,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_16","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",183,"diversity-dependent",198,57.5304,141,139.366,NA,0.336119,NA,0.0208024,NA
"Rabosky2014_DD_k1_17","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",164,"pure-birth",165,0,164,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_17","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",164,"diversity-dependent",229,71.4911,62,61.1892,NA,0.325168,NA,0.0275545,NA
"Rabosky2014_DD_k1_18","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",109,"pure-birth",110,0,109,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_18","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",109,"diversity-dependent",146,77.4542,26,144.956,NA,0.156653,NA,0.0248127,NA
"Rabosky2014_DD_k1_19","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",216,"pure-birth",217,0,216,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_19","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",216,"diversity-dependent",263,79.5522,159,172.958,NA,0.34788,NA,0.00970327,NA
"Rabosky2014_DD_k1_20","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",111,"pure-birth",112,0,111,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_20","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",111,"diversity-dependent",125,62.362,58,57.9668,NA,0.378408,NA,0.00784241,NA
"Rabosky2014_DD_k1_21","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",131,"pure-birth",132,0,131,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_21","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",131,"diversity-dependent",143,48.7313,103,110.844,NA,0.288313,NA,0.039803,NA
"Rabosky2014_DD_k1_22","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",159,"pure-birth",160,0,159,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_22","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",159,"diversity-dependent",165,61.7005,131,127.604,NA,0.39924,NA,0.0244912,NA
"Rabosky2014_DD_k1_23","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",103,"pure-birth",104,0,103,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_23","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",103,"diversity-dependent",163,68.0982,25,113.115,NA,0.103875,NA,0.00337178,NA
"Rabosky2014_DD_k1_24","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",193,"pure-birth",194,0,193,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_24","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",193,"diversity-dependent",210,65.6071,159,182.46,NA,0.213558,NA,0.00300678,NA
"Rabosky2014_DD_k1_25","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",173,"pure-birth",174,0,173,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_25","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",173,"diversity-dependent",189,76.3909,113,220.827,NA,0.237706,NA,0.0311979,NA
"Rabosky2014_DD_k1_26","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",92,"pure-birth",93,0,92,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_26","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",92,"diversity-dependent",134,71.7566,25,26.9591,NA,0.165663,NA,0.00594993,NA
"Rabosky2014_DD_k1_27","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",225,"pure-birth",226,0,225,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_27","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",225,"diversity-dependent",253,56.1952,150,147.603,NA,0.33073,NA,0.0318425,NA
"Rabosky2014_DD_k1_28","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",150,"pure-birth",151,0,150,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_28","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",150,"diversity-dependent",213,56.6262,53,53.9488,NA,0.370491,NA,0.0484058,NA
"Rabosky2014_DD_k1_29","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",209,"pure-birth",210,0,209,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_29","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",209,"diversity-dependent",236,51.6186,181,185.013,NA,0.352511,NA,0.0278834,NA
"Rabosky2014_DD_k1_30","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",124,"pure-birth",125,0,124,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_30","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",124,"diversity-dependent",164,73.017,85,87.1453,NA,0.36971,NA,0.0232887,NA
"Rabosky2014_DD_k1_31","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",155,"pure-birth",156,0,155,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_31","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",155,"diversity-dependent",203,68.9009,106,123.457,NA,0.206914,NA,0.000530843,NA
"Rabosky2014_DD_k1_32","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",91,"pure-birth",92,0,91,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_32","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",91,"diversity-dependent",95,41.0941,50,50.8097,NA,0.293768,NA,0.037574,NA
"Rabosky2014_DD_k1_33","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",194,"pure-birth",195,0,194,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_33","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",194,"diversity-dependent",293,40.4954,64,138.221,NA,0.1098,NA,0.0294297,NA
"Rabosky2014_DD_k1_34","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",160,"pure-birth",161,0,160,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_34","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",160,"diversity-dependent",166,69.1806,127,128.044,NA,0.386249,NA,0.0345971,NA
"Rabosky2014_DD_k1_35","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",283,"pure-birth",284,0,283,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_35","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",283,"diversity-dependent",287,50.9378,242,236.682,NA,0.321468,NA,0.0437019,NA
"Rabosky2014_DD_k1_36","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",230,"pure-birth",231,0,230,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_36","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",230,"diversity-dependent",233,43.0409,177,173.918,NA,0.297042,NA,0.0467682,NA
"Rabosky2014_DD_k1_37","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",96,"pure-birth",97,0,96,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_37","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",96,"diversity-dependent",155,67.8774,37,39.3498,NA,0.182153,NA,0.0491196,NA
"Rabosky2014_DD_k1_38","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",153,"pure-birth",154,0,153,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_38","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",153,"diversity-dependent",175,55.0768,116,122.475,NA,0.359432,NA,0.0465117,NA
"Rabosky2014_DD_k1_39","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",118,"pure-birth",119,0,118,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_39","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",118,"diversity-dependent",138,66.6817,84,81.9124,NA,0.389945,NA,0.00797957,NA
"Rabosky2014_DD_k1_40","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",292,"pure-birth",293,0,292,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_40","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",292,"diversity-dependent",334,51.3391,239,238.315,NA,0.199568,NA,0.0121466,NA
"Rabosky2014_DD_k1_41","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",281,"pure-birth",282,0,281,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_41","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",281,"diversity-dependent",328,53.12,235,231.45,NA,0.293788,NA,0.0359848,NA
"Rabosky2014_DD_k1_42","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",192,"pure-birth",193,0,192,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_42","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",192,"diversity-dependent",245,60.0646,134,140.702,NA,0.268603,NA,0.0155575,NA
"Rabosky2014_DD_k1_43","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",111,"pure-birth",112,0,111,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_43","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",111,"diversity-dependent",172,77.531,51,82.1667,NA,0.252928,NA,0.0301162,NA
"Rabosky2014_DD_k1_44","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",205,"pure-birth",206,0,205,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_44","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",205,"diversity-dependent",268,48.9682,143,240.241,NA,0.126973,NA,0.0118461,NA
"Rabosky2014_DD_k1_45","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",264,"pure-birth",265,0,264,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_45","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",264,"diversity-dependent",302,44.5881,224,225.029,NA,0.330209,NA,0.0318465,NA
"Rabosky2014_DD_k1_46","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",216,"pure-birth",217,0,216,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_46","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",216,"diversity-dependent",231,69.8042,189,189.328,NA,0.391777,NA,0.00538088,NA
"Rabosky2014_DD_k1_47","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",245,"pure-birth",246,0,245,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_47","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",245,"diversity-dependent",254,46.8151,215,213.107,NA,0.241192,NA,0.00306669,NA
"Rabosky2014_DD_k1_48","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",155,"pure-birth",156,0,155,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_48","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",155,"diversity-dependent",180,69.9658,104,103.466,NA,0.358474,NA,0.0470172,NA
"Rabosky2014_DD_k1_49","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",278,"pure-birth",279,0,278,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_49","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",278,"diversity-dependent",338,47.8436,206,205.4,NA,0.294504,NA,0.00317666,NA
"Rabosky2014_DD_k1_50","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",257,"pure-birth",258,0,257,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_50","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",257,"diversity-dependent",300,61.6666,170,171.928,NA,0.314763,NA,0.045605,NA
"Rabosky2014_DD_k1_51","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",305,"pure-birth",306,0,305,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_51","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",305,"diversity-dependent",344,74.1848,132,142.669,NA,0.255356,NA,0.00886691,NA
"Rabosky2014_DD_k1_52","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",265,"pure-birth",266,0,265,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_52","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",265,"diversity-dependent",269,54.8329,237,247.745,NA,0.199366,NA,0.0273695,NA
"Rabosky2014_DD_k1_53","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",151,"pure-birth",152,0,151,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_53","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",151,"diversity-dependent",162,46.7821,96,101.95,NA,0.281359,NA,0.0423792,NA
"Rabosky2014_DD_k1_54","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",140,"pure-birth",141,0,140,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_54","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",140,"diversity-dependent",161,62.606,93,180.751,NA,0.2198,NA,0.0402918,NA
"Rabosky2014_DD_k1_55","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",85,"pure-birth",86,0,85,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_55","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",85,"diversity-dependent",111,55.3519,32,33.4337,NA,0.221267,NA,0.0110134,NA
"Rabosky2014_DD_k1_56","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",176,"pure-birth",177,0,176,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_56","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",176,"diversity-dependent",234,45.2707,111,201.924,NA,0.259199,NA,0.0363265,NA
"Rabosky2014_DD_k1_57","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",162,"pure-birth",163,0,162,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_57","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",162,"diversity-dependent",234,71.8258,85,128.51,NA,0.191376,NA,0.0439116,NA
"Rabosky2014_DD_k1_58","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",79,"pure-birth",80,0,79,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_58","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",79,"diversity-dependent",99,43.3672,54,55.4779,NA,0.336251,NA,0.0375919,NA
"Rabosky2014_DD_k1_59","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",347,"pure-birth",348,0,347,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_59","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",347,"diversity-dependent",411,62.3937,191,235.605,NA,0.152686,NA,4.1459e-05,NA
"Rabosky2014_DD_k1_60","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",163,"pure-birth",164,0,163,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_60","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",163,"diversity-dependent",171,79.2281,138,178.347,NA,0.280834,NA,0.0334197,NA
"Rabosky2014_DD_k1_61","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",184,"pure-birth",185,0,184,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_61","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",184,"diversity-dependent",205,53.8342,156,171.689,NA,0.323989,NA,0.0486781,NA
"Rabosky2014_DD_k1_62","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",149,"pure-birth",150,0,149,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_62","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",149,"diversity-dependent",218,50.6148,81,200.392,NA,0.0728052,NA,0.00538698,NA
"Rabosky2014_DD_k1_63","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",285,"pure-birth",286,0,285,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_63","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",285,"diversity-dependent",340,62.599,231,239.228,NA,0.237094,NA,0.013524,NA
"Rabosky2014_DD_k1_64","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",129,"pure-birth",130,0,129,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_64","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",129,"diversity-dependent",167,65.7232,36,197.65,NA,0.132578,NA,0.0186612,NA
"Rabosky2014_DD_k1_65","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",139,"pure-birth",140,0,139,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_65","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",139,"diversity-dependent",169,63.2536,109,127.552,NA,0.259117,NA,0.0390625,NA
"Rabosky2014_DD_k1_66","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",191,"pure-birth",192,0,191,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_66","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",191,"diversity-dependent",207,56.9714,164,165.761,NA,0.378959,NA,0.0310752,NA
"Rabosky2014_DD_k1_67","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",290,"pure-birth",291,0,290,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_67","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",290,"diversity-dependent",324,63.2845,223,233.685,NA,0.25215,NA,0.0127593,NA
"Rabosky2014_DD_k1_68","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",136,"pure-birth",137,0,136,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_68","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",136,"diversity-dependent",163,70.0464,81,84.875,NA,0.315976,NA,0.00830685,NA
"Rabosky2014_DD_k1_69","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",149,"pure-birth",150,0,149,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_69","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",149,"diversity-dependent",169,66.6025,110,113.061,NA,0.302012,NA,0.0304141,NA
"Rabosky2014_DD_k1_70","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",332,"pure-birth",333,0,332,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_70","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",332,"diversity-dependent",351,65.8003,179,183.074,NA,0.273671,NA,0.0350292,NA
"Rabosky2014_DD_k1_71","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",241,"pure-birth",242,0,241,NA,NA,0.032,0,0,0
"Rabosky2014_DD_k1_71","Rabosky2014_DD_k1","Rabosky 2014","PB root regime, 1 shift to diversity-dependent",241,"diversity-dependent",245,42.3902,195,222.773,NA,0.15043,NA,0.0323493,NA
