generation,N_shifts,logPrior,logLik,eventRate,acceptRate
132000,1,5.0779,-595.562,0.926363,0.42
133000,1,4.87279,-597.139,0.536933,0.417
134000,1,4.4826,-596.553,0.417596,0.394
135000,1,3.16045,-596.532,0.590006,0.314
136000,1,3.64447,-599.33,0.564563,0.361
137000,1,2.81709,-601.64,0.334365,0.356
138000,1,2.16175,-598.215,0.982066,0.338
139000,1,3.00114,-598.574,1.61554,0.36
140000,1,3.86034,-600.104,0.121455,0.4
141000,1,3.62421,-595.219,0.443156,0.367
142000,1,4.01196,-595.258,0.838305,0.371
143000,1,3.78536,-595.836,1.09698,0.348
144000,1,3.76431,-596.659,0.603754,0.385
145000,3,7.67704,-592.515,1.63355,0.38
146000,3,5.60266,-590.408,4.42946,0.429
147000,4,9.58821,-592.691,2.07749,0.494
148000,3,5.79274,-592.974,3.31707,0.525
149000,2,6.14653,-592.958,2.2683,0.452
150000,1,4.28489,-594.561,1.0226,0.443
151000,1,5.00916,-596.907,0.377618,0.401
152000,1,4.61752,-597.008,0.126406,0.406
153000,2,7.12465,-594.397,1.0126,0.395
154000,1,3.66722,-594.626,1.93363,0.379
155000,1,5.35806,-594.139,0.195676,0.411
156000,2,4.50321,-600.354,2.4332,0.461
157000,1,4.81655,-598.45,0.560642,0.442
158000,1,4.31571,-596.591,1.42993,0.405
159000,1,4.52114,-597.465,0.434929,0.413
160000,1,4.56027,-598.703,0.35611,0.416
161000,1,3.91552,-596.933,1.7732,0.412
162000,1,5.47265,-595.906,0.327529,0.447
163000,1,6.03532,-595.864,0.276533,0.411
164000,2,7.16187,-595.392,1.47508,0.465
165000,3,5.86711,-597.241,4.53264,0.43
166000,2,5.88214,-597.073,0.929771,0.466
167000,1,3.93413,-595.644,0.302175,0.335
168000,2,2.15203,-604.737,1.96446,0.34
169000,1,2.90756,-597.451,1.04715,0.354
170000,1,4.27887,-595.823,0.105772,0.35
171000,2,4.18277,-594.915,1.74019,0.369
172000,3,4.46787,-592.38,2.58791,0.418
173000,2,4.51335,-593.46,1.4509,0.405
174000,2,2.27835,-592.279,3.29503,0.385
175000,4,8.47003,-592.487,2.48235,0.44
176000,1,3.39513,-594.743,1.6943,0.433
177000,2,3.95191,-592.607,0.28284,0.373
178000,2,5.51282,-593.841,2.43739,0.398
179000,1,3.75894,-596.97,1.63846,0.408
180000,1,3.04438,-596.483,2.26802,0.408
181000,1,4.43731,-603.655,0.657101,0.432
182000,1,5.05728,-595.975,0.428212,0.385
183000,2,4.57023,-594.599,4.04956,0.4
184000,2,4.90042,-593.959,1.71409,0.406
185000,1,3.41249,-595.761,2.22471,0.378
186000,1,4.38521,-596.451,0.909651,0.39
187000,1,4.58904,-594.687,0.621868,0.399
188000,1,4.69197,-597.496,0.512984,0.375
189000,1,4.1468,-598.718,1.04332,0.402
190000,1,2.05956,-597.753,2.89807,0.39
191000,1,4.30382,-596.828,1.01808,0.372
192000,1,3.06633,-597.602,0.729932,0.388
193000,2,5.10153,-599.319,2.22847,0.391
194000,3,6.61497,-598.252,1.06232,0.468
195000,1,4.9197,-595.44,0.320356,0.467
196000,1,4.21559,-595.543,1.38022,0.385
197000,1,4.39868,-594.918,1.46487,0.41
198000,3,7.71176,-593.635,3.31373,0.463
