,species,max_height_m,,
33,Eucalyptus_lehmanii,5,,
32,Eucalyptus_hebetifolia,8,,
31,Eucalyptus_redunca,2,,
30,Eucalyptus_annulata,7,,
29,Eucalyptus_nutans,3,,
28,Eucalyptus_prominens,3,,
27,Eucalyptus_spathulata,10,(mean of subsp),
26,Eucalyptus_vesiculosa,3,,
25,Eucalyptus_cernua,5,,
24,Eucalyptus_proxima,3,,
23,Eucalyptus_occidentalis,20,,
22,Eucalyptus_macrandra,4,,
21,Eucalyptus_cuspidata,no_info_yet,,
20,Eucalyptus_microschema,3,,
19,Eucalyptus_newbeyi,8,,
18,Eucalyptus_gomphocephala,40,,
17,Eucalyptus_megacornuta,15,,
16,Eucalyptus_incerata,5,,
15,Eucalyptus_cornuta,20,,
14,Eucalyptus_burdettiana,4,,
13,Eucalyptus_mcquoidii,3,,
12,Eucalyptus_conferruminata,5,(mean of subsp),
11,Eucalyptus_suggrandis,5,(mean of subsp),
10,Eucalyptus_dielsii,8,,
9,Eucalyptus_depauperata,4,,
8,Eucalyptus_tenera,5,,
7,Eucalyptus_mimica,5,(mean of subsp),
6,Eucalyptus_eremophila,5,,
5,Eucalyptus_cylindriflora,4,,
4,Eucalyptus_steedmanii,12,,
3,Eucalyptus_diminuta,4,,
2,Eucalyptus_sargentii,9,(mean of subsp),
1,Eucalyptus_aspratilis,5,,
