generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1,72,0,0.032,0,0.005,0
1000,1,72,0,0.054438,0.00186159,0.0112845,0
2000,1,72,0,0.0453103,0.00421542,0.000179908,0
3000,1,72,0,0.120717,-0.0161317,0.00908757,0
4000,1,72,0,0.214647,-0.0207866,0.0561821,0
5000,1,72,0,0.198424,-0.0196407,0.0742302,0
6000,1,72,0,0.18754,-0.0214152,0.0473979,0
7000,1,72,0,0.248527,-0.0288261,0.0504719,0
8000,1,72,0,0.223571,-0.0233842,0.0488395,0
9000,1,72,0,0.184986,-0.0226941,0.0506898,0
10000,1,72,0,0.329326,-0.0247972,0.100444,0
11000,1,72,0,0.218033,-0.0197899,0.070666,0
12000,1,72,0,0.126636,-0.0144546,0.0243133,0
13000,1,72,0,0.1168,-0.0194552,0.00499497,0
14000,1,72,0,0.0727231,-0.012988,0.00471653,0
15000,1,72,0,0.073909,-0.00787569,0.0108006,0
16000,1,72,0,0.0760112,-0.00787569,0.0100585,0
17000,1,72,0,0.0764507,-0.0126078,0.00606735,0
18000,1,72,0,0.0480328,-0.000711408,0.00283114,0
19000,1,72,0,0.130838,-0.0179841,0.0296047,0
20000,1,72,0,0.159681,-0.0231594,0.0188317,0
21000,1,72,0,0.138796,-0.0202187,0.0309333,0
22000,1,72,0,0.0890906,-0.0118185,0.011549,0
23000,1,72,0,0.0833003,-0.00932364,0.0214582,0
24000,1,72,0,0.156836,-0.0193849,0.0381953,0
25000,1,72,0,0.101794,-0.0134782,0.0154467,0
26000,1,72,0,0.113866,-0.0107035,0.0233362,0
27000,1,72,0,0.154753,-0.0147895,0.0518053,0
28000,1,72,0,0.171074,-0.0238886,0.0408876,0
29000,1,72,0,0.131276,-0.0157505,0.0245264,0
30000,1,72,0,0.0812385,-0.00550699,0.0371325,0
31000,1,72,0,0.196293,-0.0208852,0.0535692,0
32000,1,72,0,0.144964,-0.0199165,0.0147017,0
33000,1,72,0,0.152551,-0.0197736,0.0211504,0
34000,1,72,0,0.121338,-0.018465,0.0192717,0
35000,1,72,0,0.0870792,-0.0141179,0.00735524,0
36000,1,72,0,0.0966011,-0.0129818,0.0228448,0
37000,1,72,0,0.18108,-0.0210173,0.0438668,0
38000,1,72,0,0.0935196,-0.00817212,0.0384963,0
39000,1,72,0,0.122713,-0.0138794,0.0261445,0
40000,1,72,0,0.309637,-0.0289816,0.0594876,0
41000,1,72,0,0.22123,-0.0229274,0.0601818,0
42000,1,72,0,0.168037,-0.019903,0.0489536,0
43000,1,72,0,0.098555,-0.0128179,0.031799,0
