generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,3.9874,-413.859,1,0
1000,0,4.73582,-410.919,0.136796,0.307
2000,0,4.35447,-410.87,0.539747,0.37
3000,0,4.84741,-410.534,0.0197513,0.373
4000,1,7.30302,-408.467,2.26022,0.356911
5000,0,4.67722,-409.735,0.118234,0.3945
6000,0,4.41856,-407.353,0.288335,0.325
7000,0,3.8868,-407.792,0.573012,0.336667
8000,0,4.13986,-407.355,0.0405312,0.326334
9000,0,3.37938,-409.36,0.74704,0.357
10000,0,3.56895,-407.488,1.27489,0.31
11000,0,3.73289,-408.09,0.185323,0.2575
12000,0,4.11121,-413.183,0.338462,0.264
13000,1,6.56831,-410.391,1.19151,0.335743
14000,0,4.05584,-410.519,0.295315,0.364
15000,0,3.78722,-407.871,0.410773,0.3024
16000,0,3.09296,-411.002,0.505746,0.273
17000,0,2.35452,-408.373,1.37028,0.28
18000,0,4.04344,-408.211,0.0035424,0.276
19000,0,4.18502,-407.235,0.0403861,0.296
20000,0,3.4132,-407.91,0.722728,0.320833
21000,0,3.79234,-407.739,0.427264,0.29
22000,0,3.01789,-408.551,0.856437,0.24
23000,0,2.65424,-410.256,0.633408,0.283818
24000,0,4.08016,-408.022,0.0417459,0.2742
25000,0,3.35042,-408.388,0.192745,0.287
26000,0,4.58536,-407.107,0.200248,0.249
27000,0,3.36239,-408.974,0.42478,0.2805
28000,0,4.78577,-412.068,0.0161133,0.276
29000,0,4.78749,-409.156,0.0850303,0.289
30000,0,4.48381,-411.297,0.325546,0.317
31000,0,4.79981,-408.187,0.0806319,0.313
32000,0,4.42096,-409.679,0.128168,0.285167
33000,0,4.62355,-408.701,0.260929,0.296
34000,0,2.5539,-411.178,1.23225,0.29425
35000,0,3.48369,-408.826,0.869693,0.3355
36000,0,4.67575,-408.151,0.0104329,0.281333
37000,0,3.63092,-407.958,0.805382,0.281333
38000,0,4.21089,-407.463,0.157002,0.313
39000,0,4.42693,-409.06,0.309992,0.294235
40000,0,2.89902,-407.3,1.50029,0.306
41000,0,4.66979,-407.279,0.0840877,0.244
42000,0,4.22279,-407.69,0.0206751,0.307
43000,0,3.34698,-409.067,0.0214459,0.295143
44000,0,3.73202,-408.052,0.0912771,0.244
45000,0,4.00038,-408.085,0.031812,0.277667
46000,0,3.84515,-407.728,0.51498,0.3
47000,0,4.32792,-407.02,0.210298,0.278
48000,0,4.47695,-411.087,0.255664,0.29175
49000,0,4.51198,-408.579,0.29466,0.286786
50000,0,3.32749,-408.072,1.40948,0.277
51000,0,4.32268,-407.472,0.253214,0.284
52000,0,4.40937,-407.298,0.0167838,0.315
53000,0,4.2173,-411.023,0.545866,0.286
54000,0,2.97927,-408.31,1.02842,0.2805
55000,0,4.01051,-407.659,0.0700891,0.246
56000,0,3.81598,-407.53,0.148799,0.318
57000,0,4.06119,-408.822,0.192229,0.282
58000,0,2.9538,-407.379,1.37269,0.316
59000,0,3.7431,-408.367,0.098958,0.266
60000,0,3.94682,-407.773,0.0476128,0.207
61000,0,3.60516,-407.609,0.343325,0.298375
62000,0,3.43774,-408.656,0.425446,0.278
63000,0,3.36713,-409.014,0.364528,0.288125
64000,0,2.94002,-410.484,0.100935,0.265
65000,0,3.54005,-408.925,0.238192,0.292882
66000,0,2.91065,-409.577,0.119615,0.264
67000,0,3.56449,-407.599,0.381927,0.283
68000,0,4.20767,-409.091,0.198835,0.278625
69000,0,3.64644,-408.354,0.859335,0.276
70000,0,3.60167,-407.542,0.634669,0.296
71000,0,3.57447,-407.976,0.25047,0.271
72000,0,4.41529,-407.094,0.0337645,0.3
73000,0,4.07322,-408.141,0.626289,0.338
74000,0,4.43197,-410.657,0.0325941,0.277
75000,0,4.85301,-407.796,0.00719507,0.281
76000,0,4.78225,-408.146,0.0608347,0.3185
77000,0,3.18551,-407.932,1.70964,0.3385
78000,0,3.75434,-409.815,0.734938,0.280062
79000,0,4.41079,-408.431,0.0736768,0.282
80000,0,2.94032,-407.859,1.5088,0.294
81000,0,4.11192,-407.222,0.708029,0.31
82000,0,4.68583,-407.254,0.173653,0.302
83000,0,4.01786,-409.367,0.446791,0.309667
84000,0,3.82084,-407.731,0.0544479,0.2905
85000,0,4.49678,-407.871,0.329893,0.339
86000,0,4.63956,-408.124,0.0192557,0.3014
87000,0,3.04971,-410.952,1.7813,0.331
88000,0,4.67526,-407.957,0.0639567,0.297
89000,0,3.32372,-408.251,1.16026,0.279667
90000,0,3.76527,-408.242,0.766276,0.315
91000,0,3.21733,-408.097,0.69479,0.281462
92000,0,3.48727,-409.489,0.389939,0.25
93000,0,4.19341,-407.201,0.112198,0.271
94000,0,4.4033,-407.023,0.1477,0.364
95000,0,4.06049,-408.17,0.0249025,0.304429
96000,0,3.50011,-407.43,0.80177,0.314
97000,0,3.94756,-408.038,0.292154,0.303
98000,0,4.29886,-407.721,0.336435,0.327
99000,0,1.81859,-407.443,2.4521,0.298778
100000,0,4.58645,-407.739,0.172837,0.31
101000,0,4.23596,-408.291,0.298491,0.376
102000,0,4.30546,-408.279,0.403435,0.327
103000,0,3.75401,-407.94,0.807256,0.3326
104000,0,4.6406,-408.006,0.127144,0.281
105000,0,4.27473,-408.989,0.428202,0.332
106000,0,3.49715,-407.862,0.371599,0.302273
107000,0,3.3277,-408.646,0.831314,0.2765
108000,0,4.01136,-408.217,0.331939,0.288
109000,0,3.64619,-407.655,1.03572,0.296286
110000,0,4.03608,-408.444,0.357797,0.317
111000,0,3.95139,-407.119,0.862666,0.291
112000,0,3.74755,-407.572,0.702737,0.2945
113000,0,3.55397,-406.986,1.04202,0.27
114000,0,3.79687,-407.175,0.777638,0.287
115000,0,4.05506,-407.228,0.370773,0.305556
116000,0,4.15607,-408.778,0.350352,0.262
117000,0,4.04038,-408.418,0.0891247,0.266
118000,0,4.12056,-407.917,0.112101,0.31
119000,1,4.09559,-411.266,2.08309,0.3075
120000,0,3.2553,-407.613,0.669289,0.235
121000,0,3.94933,-407.556,0.0170164,0.25
122000,0,3.60995,-407.908,0.623265,0.286375
123000,0,2.42133,-410.342,0.382095,0.28
124000,0,3.35783,-408.411,0.285372,0.261
125000,0,3.67967,-407.701,0.752914,0.23
126000,0,4.36037,-408.381,0.0252977,0.269
127000,0,2.39206,-407.369,1.87133,0.311935
128000,0,4.81685,-407.69,0.00116644,0.3
129000,0,4.328,-407.736,0.063038,0.360333
130000,0,2.89982,-407.669,1.12923,0.375
131000,0,4.55488,-409.716,0.129018,0.301615
132000,0,3.91397,-407.174,0.577479,0.317
133000,0,4.51743,-408.357,0.0812523,0.3115
134000,0,4.14263,-408.187,0.50433,0.297
135000,1,6.46548,-407.941,1.41067,0.328583
136000,0,4.46979,-407.014,0.225814,0.369
137000,0,4.65097,-408.925,0.243396,0.3235
138000,0,2.62267,-409.106,1.71413,0.31725
139000,0,2.63745,-409.173,0.861631,0.286
140000,0,3.13857,-409.054,0.0748865,0.2776
141000,0,3.27302,-408.28,0.761154,0.2898
142000,0,3.8025,-407.425,0.411248,0.296
143000,0,4.01868,-407.582,0.474819,0.324
144000,0,4.56291,-408.769,0.0216542,0.294
145000,0,3.84471,-408.102,0.267768,0.288429
146000,0,4.47607,-407.711,0.0335538,0.281
147000,0,4.37483,-407.114,0.0185885,0.332
148000,0,3.92787,-408.932,0.205728,0.275
149000,0,3.85979,-407.329,0.56133,0.2948
150000,0,4.3199,-408.084,0.168813,0.276
151000,0,3.588,-408.129,0.491146,0.308417
152000,0,3.85077,-408.121,0.840446,0.3048
153000,0,3.8258,-409.093,0.337238,0.278
154000,0,4.57386,-409.628,0.115374,0.265333
155000,0,4.54228,-407.097,0.152945,0.26
156000,0,4.27594,-412.689,0.450631,0.30475
157000,0,4.26089,-410.526,0.703619,0.345333
158000,0,3.58478,-407.207,1.14376,0.303333
159000,0,4.45979,-408.865,0.321352,0.283
160000,0,4.05201,-409.663,0.557492,0.294
161000,0,4.74618,-407.648,0.0819806,0.321
162000,0,4.36341,-409.413,0.0318202,0.302667
163000,0,4.46167,-407.272,0.0916393,0.267
164000,0,4.08819,-407.216,0.700812,0.305333
165000,0,4.77711,-408.657,0.0883834,0.313333
166000,0,4.67646,-409.063,0.212704,0.301
167000,1,4.56417,-408.903,0.966887,0.324
168000,0,4.30912,-408.239,0.559013,0.323
169000,0,4.14813,-407.755,0.013978,0.273
170000,0,3.38932,-409.529,0.353699,0.303
171000,0,3.14771,-409.94,0.149851,0.245
172000,0,4.11138,-407.543,0.0767619,0.299
173000,0,3.76024,-409.511,0.520993,0.422
174000,0,4.40043,-412.082,0.1726,0.307636
175000,0,4.31035,-407.666,0.156309,0.303556
176000,0,3.57432,-408.022,0.418126,0.321
177000,0,4.2566,-408.899,0.21687,0.290333
178000,0,4.09411,-407.034,0.500103,0.293
179000,0,3.65731,-407.168,0.652967,0.299
180000,0,3.32472,-407.424,0.829372,0.301
181000,0,3.59576,-407.651,0.403543,0.286
182000,0,2.90499,-411.484,0.845218,0.283333
183000,0,3.09238,-408.286,0.709705,0.303
184000,0,4.11339,-407.53,0.0781561,0.269
185000,0,3.73923,-407.089,0.669981,0.254
186000,0,4.05615,-408.282,0.558988,0.345
187000,0,4.6187,-409.723,0.0245214,0.249
188000,0,1.98044,-407.286,2.32435,0.280455
189000,0,3.70221,-410.845,0.143006,0.36
190000,0,4.07391,-408.048,0.508235,0.347
191000,0,4.39702,-407.693,0.109048,0.292056
192000,0,3.61308,-407.685,0.620435,0.301333
193000,0,3.81146,-411.872,0.497878,0.2765
194000,0,3.32131,-407.946,0.719383,0.252
195000,0,4.29252,-408.239,0.0345536,0.288
196000,0,3.73149,-407.398,0.712204,0.309733
197000,0,2.74115,-409.067,1.5559,0.285
198000,0,4.23958,-407.298,0.405946,0.28
199000,0,4.26392,-407.007,0.477988,0.272
200000,0,4.35909,-407.065,0.207997,0.286
201000,0,4.82577,-407.316,0.00975543,0.307
202000,0,3.69261,-407.579,1.067,0.321
203000,0,4.21597,-407.275,0.504506,0.295
204000,0,3.19946,-410.105,0.687191,0.276643
205000,0,4.18866,-408.254,0.0124409,0.300286
206000,0,3.08811,-409.961,0.0612624,0.284786
207000,0,3.5154,-408.231,0.134026,0.201
208000,0,3.29818,-409.927,0.715278,0.2746
209000,0,4.34555,-409.964,0.0628951,0.258
210000,0,3.90115,-408.109,0.961878,0.2845
211000,0,2.88459,-407.664,1.5705,0.349
212000,0,3.60528,-407.855,0.163989,0.262
213000,0,3.38652,-407.955,0.613946,0.281
214000,0,2.43354,-414.271,1.13726,0.271556
215000,0,3.00819,-410.648,0.365394,0.251
216000,0,4.33486,-408.371,0.0745284,0.292
217000,0,4.47544,-407.778,0.198106,0.281
218000,0,4.29907,-407.907,0.0677018,0.273333
219000,0,3.75126,-407.643,0.134454,0.338
220000,0,4.21075,-407.921,0.51685,0.336
221000,0,4.40799,-407.079,0.13569,0.37
222000,0,3.97765,-407.559,0.278911,0.296933
223000,0,4.11603,-408.181,0.128975,0.377
224000,0,3.18197,-409.709,0.0753504,0.269
225000,0,1.37685,-407.383,2.70852,0.289
226000,0,4.15586,-407.725,0.270628,0.271
227000,0,4.58847,-409.9,0.156559,0.317
228000,0,4.52649,-410.637,0.334417,0.309714
229000,0,4.81813,-409.883,0.112821,0.296
230000,0,4.30309,-407.822,0.288713,0.314
231000,0,4.30387,-407.205,0.0906675,0.299273
232000,1,7.21691,-408.032,0.606318,0.365
233000,0,4.58289,-409.362,0.340063,0.328667
234000,0,4.35452,-408.242,0.319767,0.318
235000,0,4.75971,-409.749,0.051437,0.326
236000,1,2.20089,-407.087,1.15389,0.34
237000,0,4.74961,-408.051,0.0224792,0.316
238000,0,4.07165,-407.338,0.289807,0.306333
239000,0,3.20778,-408.81,0.419835,0.299227
240000,0,1.29209,-409.162,1.99381,0.273333
241000,0,3.35656,-407.657,0.567553,0.215
