generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,3.41679,-6166.2,1,0
1000,1,30.8053,-938.81,0.17275,0.376
2000,2,47.1049,-858.736,2.18483,0.365
3000,1,30.2156,-857.015,2.27493,0.219
4000,1,31.5749,-856.716,0.997392,0.222
5000,3,57.2023,-858.434,3.69005,0.267
6000,1,14.0148,-863.931,0.960498,0.189302
7000,0,18.3199,-851.902,0.191978,0.253107
8000,0,18.4262,-852.614,0.274243,0.259
9000,1,33.8595,-850.96,0.855862,0.271
10000,0,18.0486,-851.495,0.596442,0.303
11000,0,18.3521,-852.352,0.241812,0.297
12000,2,49.1275,-854.895,3.06457,0.226
13000,0,18.0544,-852.013,0.494605,0.327
14000,0,17.7393,-851.477,0.936444,0.284
15000,1,35.2051,-852.083,0.385125,0.307
16000,2,49.8462,-851.027,1.77537,0.2318
17000,2,47.4902,-847.963,0.727231,0.335
18000,0,18.7024,-851.772,0.0153766,0.333
19000,0,18.1989,-853.63,0.185738,0.267
20000,0,17.9478,-852.573,0.602582,0.246
21000,0,18.0753,-853.613,0.280246,0.246
22000,0,18.6105,-851.25,0.0361517,0.263
23000,0,17.7107,-853.273,0.959849,0.267
24000,0,18.5735,-851.999,0.0452436,0.284
25000,0,18.426,-852.526,0.0113322,0.195352
26000,0,18.4447,-851.997,0.11277,0.26
27000,1,36.0745,-853.71,0.21727,0.342
28000,0,17.1439,-852.025,1.38518,0.251
29000,0,18.0096,-851.372,0.61774,0.269
30000,1,34.2324,-850.992,0.963595,0.292
31000,5,102.644,-844.97,4.10468,0.512
32000,1,35.3958,-849.089,0.533234,0.472
33000,2,44.2684,-854.908,1.98576,0.439
34000,0,17.5551,-852.192,0.970996,0.383
35000,0,17.5671,-851.748,1.02737,0.32
36000,0,18.6091,-852.177,0.0162054,0.277
37000,0,18.019,-852.253,0.698045,0.24
38000,0,18.3486,-854.985,0.231509,0.273
39000,0,18.7101,-852.189,0.0196439,0.311
40000,0,18.5239,-852.523,0.120095,0.325
41000,0,18.6017,-851.644,0.0947828,0.432
42000,0,18.546,-852.062,0.0223762,0.273162
43000,1,34.5446,-854.069,0.705336,0.413
44000,1,30.5956,-852.713,3.58328,0.281621
45000,1,35.5103,-847.595,0.540754,0.388
46000,0,18.3799,-852.274,0.163453,0.279263
47000,0,18.1195,-852.465,0.496168,0.287
48000,0,18.4585,-852.283,0.13446,0.304
49000,1,35.0178,-853.138,1.90868,0.366
50000,0,16.6289,-853.171,1.86494,0.288429
51000,1,33.3728,-854.485,2.27764,0.298
52000,0,17.9236,-853.595,0.500978,0.295545
53000,0,17.967,-851.882,0.678271,0.3155
54000,0,15.9201,-852.526,2.56838,0.297889
55000,0,17.9182,-851.719,0.715814,0.2765
56000,0,17.9481,-852.169,0.56533,0.29
57000,2,51.3847,-848.159,1.05732,0.441
58000,0,18.4867,-852.831,0.0385787,0.287143
59000,0,17.938,-852.473,0.641233,0.354
60000,1,35.345,-855.766,1.06264,0.367
61000,0,17.7722,-852.083,0.76504,0.31625
62000,0,18.5022,-851.992,0.0736004,0.322
63000,0,17.9582,-855.615,0.409382,0.28
64000,0,17.8649,-852.111,0.696421,0.328
65000,0,18.3829,-851.874,0.231564,0.292
66000,0,17.723,-852.45,0.81718,0.287071
67000,0,15.438,-851.399,3.21661,0.287333
68000,0,17.9375,-853.608,0.647164,0.252
69000,0,18.4541,-853.267,0.0309781,0.236
70000,0,18.2168,-851.617,0.483473,0.295
71000,0,18.6188,-851.711,0.102637,0.26
72000,1,35.9164,-852.32,0.939297,0.308
73000,0,17.7565,-852.927,0.745682,0.263
74000,0,18.4323,-852.026,0.253625,0.39
75000,0,17.7718,-852.655,0.776181,0.268
76000,0,18.4354,-852.924,0.0457004,0.254
77000,0,18.1576,-852.31,0.525411,0.245
78000,1,34.9177,-851.861,1.17876,0.341
79000,0,18.4804,-851.831,0.138268,0.284
80000,0,18.1228,-852.266,0.475146,0.324
81000,0,18.5531,-853.433,0.016123,0.286813
82000,0,18.3124,-852.042,0.224184,0.321
83000,0,16.9132,-852.677,1.47746,0.289947
84000,0,18.0474,-853.758,0.359401,0.301
85000,0,18.522,-852.02,0.177559,0.2992
86000,0,18.2403,-851.815,0.455068,0.245
87000,0,17.9211,-852.756,0.738281,0.301
88000,0,18.2275,-852.652,0.309412,0.275
89000,0,18.5751,-852.045,0.0318827,0.256
90000,0,18.0622,-852.136,0.580984,0.423
91000,0,18.3602,-852.546,0.184142,0.262
92000,0,18.2886,-852.106,0.359598,0.305
93000,0,16.9689,-853.218,0.93234,0.292727
94000,0,18.5966,-851.7,0.0542698,0.273
95000,0,17.5041,-851.761,1.12936,0.289
96000,0,17.8726,-851.763,0.776155,0.347
97000,0,18.5647,-852.217,0.0168868,0.329
98000,0,16.6351,-851.834,2.07866,0.286
99000,0,17.7076,-853.01,0.00204227,0.295467
100000,0,16.7029,-855.105,0.626832,0.297857
101000,0,16.7426,-854.753,0.441154,0.353
102000,0,16.0182,-852.823,1.31731,0.298
103000,0,16.2836,-853.878,0.62087,0.31825
104000,0,16.6836,-852.772,0.333142,0.317
105000,0,15.7896,-856.227,1.90101,0.285
106000,0,17.4681,-855.393,0.31172,0.262
107000,0,15.7356,-852.071,2.93132,0.313333
108000,0,18.5216,-851.957,0.0800975,0.317
109000,0,16.423,-852.873,1.16996,0.293
110000,0,16.3967,-852.517,1.48832,0.304
111000,0,17.149,-852.643,0.467394,0.2905
112000,0,18.5501,-853.227,0.103144,0.27775
113000,0,18.3521,-851.759,0.338285,0.361
114000,0,17.1574,-852.705,0.688678,0.28875
115000,0,17.5036,-853.899,0.267945,0.298
116000,0,17.492,-852.504,0.399185,0.29478
117000,0,17.6428,-853.947,0.119123,0.334
118000,0,17.5475,-855.556,0.204607,0.303
119000,1,36.1197,-855.223,0.351338,0.299
120000,0,17.8152,-853.843,0.132551,0.289
121000,0,17.8605,-852.559,0.180755,0.289
122000,0,17.3421,-855.096,0.509549,0.302
123000,0,17.0449,-852.9,0.739393,0.303583
124000,0,17.7721,-852.545,0.0367285,0.3
125000,0,16.5775,-852.429,1.50284,0.286333
126000,1,34.313,-848.565,0.340819,0.335
127000,1,33.2988,-854.784,0.942391,0.304667
128000,1,34.8119,-852.064,0.69698,0.426
129000,0,17.6131,-853.926,0.290636,0.294571
130000,0,17.0201,-852.476,1.00371,0.266
131000,0,18.0338,-855.771,0.00587917,0.346
132000,0,17.9472,-852.898,0.0830786,0.315
133000,0,18.0041,-852.484,0.0183921,0.294833
134000,0,17.8995,-852.728,0.0873517,0.302
135000,0,17.9012,-852.668,0.0918004,0.34
136000,0,17.0646,-854.69,0.840846,0.289
137000,0,15.1195,-853.009,0.776805,0.298
138000,0,17.5688,-853.095,0.405369,0.294333
139000,0,17.7873,-852.509,0.119618,0.333
140000,0,17.7227,-852.537,0.575522,0.319667
141000,0,17.4079,-852.438,0.789145,0.344
142000,0,17.7815,-852.722,0.118531,0.323
143000,0,15.4018,-857.933,1.49688,0.345
144000,0,16.8302,-852.801,0.336243,0.426
145000,0,16.9049,-854.825,0.270332,0.325
146000,0,16.3778,-853.945,0.734664,0.393
147000,0,14.7701,-853.639,2.33404,0.271
148000,0,16.8326,-853.678,0.637273,0.312167
149000,0,15.8972,-853.121,0.746291,0.306217
150000,0,15.6187,-852.878,1.53879,0.291333
151000,0,17.5241,-853.25,0.0252475,0.305
152000,0,17.7706,-852.544,0.511966,0.287
153000,0,18.2402,-852.976,0.000609439,0.333
154000,2,46.2805,-849.237,2.07175,0.365
155000,2,49.5271,-848.217,0.99931,0.519
156000,0,17.9305,-853.575,0.0747531,0.288429
157000,2,46.6997,-849.275,1.01392,0.358
158000,2,49.9191,-847.824,0.627865,0.505
159000,0,16.9016,-854.024,1.04449,0.282
160000,0,18.1198,-852.507,0.333852,0.2945
161000,0,17.2231,-852.32,1.23223,0.285
162000,0,18.1424,-853.448,0.0988875,0.290571
163000,0,17.6637,-854.255,0.501581,0.29
164000,0,18.3515,-852.282,0.110516,0.280333
165000,0,18.1851,-852.888,0.306941,0.288
166000,0,18.5887,-852.9,0.018167,0.30024
167000,0,18.4008,-852.021,0.14903,0.28925
168000,0,17.8441,-852.725,0.685765,0.293
169000,0,17.6863,-852.968,0.88796,0.288333
170000,0,18.4572,-852.147,0.162267,0.449
171000,0,18.1598,-855.058,0.21535,0.275
172000,0,18.4035,-854.126,0.121478,0.291
173000,0,17.8994,-853.051,0.569048,0.293
174000,0,17.8305,-852.366,0.70309,0.2925
175000,1,35.5322,-855.673,0.328057,0.338
176000,0,17.604,-851.989,0.958718,0.291
177000,0,18.287,-853.501,0.216655,0.282
178000,0,17.4641,-852.435,1.06462,0.295
179000,0,16.6852,-854.036,1.52595,0.29225
180000,0,18.1162,-852.531,0.237471,0.325
181000,0,18.0953,-852.353,0.271183,0.277
182000,0,17.7419,-852.542,0.568071,0.284
183000,0,18.013,-853.145,0.251641,0.2943
184000,0,17.8231,-853.209,0.43222,0.27
185000,0,17.3452,-852.007,1.22561,0.287769
186000,0,16.7785,-854.855,1.76515,0.2835
187000,1,30.7073,-856.795,1.65452,0.347
188000,0,18.5731,-852.191,0.0524508,0.356
189000,0,18.2903,-852.182,0.268268,0.331
190000,0,18.2652,-852.436,0.326523,0.28
191000,0,18.3161,-852.938,0.221113,0.307
192000,1,34.3927,-849.423,0.810607,0.369
193000,0,18.4126,-851.836,0.228797,0.448
194000,0,18.5158,-851.829,0.110732,0.313
195000,0,18.2967,-852.216,0.320564,0.305
196000,0,17.7265,-855.595,0.732239,0.308
197000,0,17.5056,-852.727,1.01625,0.283667
198000,0,17.4739,-851.717,1.23588,0.324
199000,0,18.1748,-852.927,0.332081,0.278
200000,0,17.6854,-852.153,1.04264,0.291556
201000,0,17.6643,-851.805,0.989371,0.316
202000,0,18.0863,-851.573,0.56172,0.253
203000,0,18.2851,-851.705,0.396934,0.274
204000,0,17.5242,-851.566,1.10704,0.292
