generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,7,147,0,0.032,0,0.00807589,0
1000,7,147,0,0.128613,0.00113047,0.0782896,0
2000,7,147,0,0.129038,0.000213643,0.10166,0
3000,7,147,0,0.0740135,0.0410428,0.0833358,0
4000,7,147,0,0.130609,0.0139668,0.179968,0
4000,355,NA,56.9576,0.150092,-0.00815523,0.147684,0
5000,7,147,0,0.08988,0.0178955,0.102808,0
6000,7,147,0,0.120278,0.00973226,0.129394,0
7000,7,147,0,0.0716818,0.0191639,0.0740636,0
8000,7,147,0,0.272615,-0.00313937,0.185238,0
9000,7,147,0,0.24067,-0.00582779,0.165234,0
10000,7,147,0,0.214566,-0.00461715,0.144469,0
11000,7,147,0,0.169302,0.00130224,0.146578,0
12000,7,147,0,0.165547,-0.002454,0.109952,0
13000,7,147,0,0.133489,0.00630289,0.128035,0
14000,7,147,0,0.104442,0.000641259,0.0603847,0
14000,136,137,43.0926,0.0785927,-0.0134285,0.0756441,0
14000,427,444,50.7116,0.335062,0.0152246,0.33556,0
15000,7,147,0,0.0447907,0.0103348,0.0136069,0
15000,427,444,40.6532,0.258018,0.0113535,0.227617,0
16000,7,147,0,0.0729187,0.010002,0.0528491,0
16000,427,444,47.4795,0.669266,-0.0379303,0.170193,0
17000,7,147,0,0.142526,-0.00492385,0.0937163,0
17000,147,148,41.6041,0.225653,-0.00135558,0.3168,0
17000,427,444,46.6701,0.242192,9.2098e-05,0.0941685,0
18000,7,147,0,0.180627,-0.00957551,0.101322,0
18000,427,444,50.0483,0.332377,0.0174724,0.237669,0
19000,7,147,0,0.196501,-0.00372409,0.157223,0
19000,427,444,50.7381,0.488459,-0.00972303,0.406079,0
20000,7,147,0,0.207711,-0.0036576,0.150863,0
20000,427,444,47.808,0.493721,-0.00122172,0.447073,0
21000,7,147,0,0.128488,0.00111018,0.118515,0
21000,427,444,43.438,0.453276,-0.00867745,0.311765,0
22000,7,147,0,0.161584,0.00135694,0.126877,0
22000,147,235,3.5145,0.377742,-0.00529081,0.275723,0
23000,7,147,0,0.107895,0.00330123,0.0575992,0
23000,147,235,2.85374,0.40921,-0.00527831,0.32638,0
24000,7,147,0,0.29685,-0.00949688,0.169867,0
24000,427,444,41.8045,0.546402,8.49905e-05,0.45535,0
25000,7,147,0,0.302308,-0.0142605,0.150596,0
25000,374,NA,62.1284,0.136616,0.0198634,0.307371,0
25000,427,444,49.7251,0.316293,0.0120299,0.26218,0
26000,7,147,0,0.271909,-0.0159642,0.103489,0
26000,427,444,50.5511,0.273121,0.002973,0.202562,0
27000,7,147,0,0.238444,-0.0117084,0.110608,0
27000,427,444,50.3606,0.36561,-0.00121169,0.387645,0
28000,7,147,0,0.252713,-0.0127846,0.124927,0
28000,427,444,44.7323,0.287414,0.00562932,0.166741,0
29000,7,147,0,0.320472,-0.00371786,0.252456,0
30000,7,147,0,0.23701,-0.0142438,0.100818,0
30000,427,444,48.8556,0.204145,0.0168887,0.106496,0
31000,7,147,0,0.342181,-0.0184079,0.107933,0
31000,427,444,48.239,0.408484,-0.00955501,0.332686,0
32000,7,147,0,0.239431,-0.0161377,0.0971795,0
32000,13,14,68.9775,0.844299,-0.00541057,0.390832,0
32000,427,444,43.3337,0.73405,-0.0266172,0.386981,0
33000,7,147,0,0.308615,-0.00553209,0.23013,0
34000,7,147,0,0.277331,-0.0048026,0.205835,0
35000,7,147,0,0.19122,-0.00390539,0.146516,0
36000,7,147,0,0.27368,-0.0130158,0.120734,0
36000,427,444,50.1673,0.696101,-0.0130759,0.466371,0
37000,7,147,0,0.305676,-0.011522,0.169082,0
37000,427,444,41.9438,0.542714,-0.00955375,0.393593,0
38000,7,147,0,0.276836,-0.0100644,0.149801,0
38000,427,444,49.0959,0.580542,-0.00687702,0.363745,0
39000,7,147,0,0.255162,-0.0100644,0.14145,0
39000,355,NA,46.7628,0.0440473,-0.00377058,0.0102151,0
39000,427,444,40.1631,0.460107,0.00698412,0.458623,0
40000,7,147,0,0.130849,-0.00538213,0.086495,0
40000,147,NA,66.2891,0.0517678,-0.00271627,0.138708,0
40000,427,444,40.1477,0.324633,0.0099267,0.283763,0
41000,7,147,0,0.488876,-0.00897325,0.30483,0
42000,7,147,0,0.28698,-0.00543745,0.215911,0
43000,7,147,0,0.304916,-0.00553249,0.211163,0
44000,7,147,0,0.303832,-0.00756894,0.190653,0
44000,427,444,48.273,0.476264,-0.00741352,0.338448,0
45000,7,147,0,0.20233,-0.00394364,0.133365,0
46000,7,147,0,0.259338,-0.00512462,0.166327,0
