generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,2,25,0,0.032,0,0.005,0
1000,2,25,0,0.196503,-0.00715245,0.106512,0
2000,2,25,0,0.389674,-0.0186664,0.184764,0
3000,2,25,0,0.104723,0.000563012,0.03798,0
4000,2,25,0,0.113568,0.000937497,0.0544787,0
5000,2,25,0,0.0824959,0.00532249,0.012027,0
5000,35,36,33.0596,0.531415,-0.0599607,0.112274,0
5000,48,NA,39.7955,0.0973086,-0.0155256,0.322749,0
5000,62,73,32.8623,0.250523,0.0463762,0.0103684,0
6000,2,25,0,0.544043,-0.026253,0.249052,0
7000,2,25,0,0.424323,-0.0270466,0.173361,0
8000,2,25,0,0.221009,-0.00344666,0.147159,0
9000,2,25,0,0.173158,-0.000993973,0.120217,0
10000,2,25,0,0.349611,-0.0221042,0.135028,0
11000,2,25,0,0.32807,-0.0125206,0.183434,0
12000,2,25,0,0.293217,-0.0116239,0.19045,0
13000,2,25,0,0.197067,-0.0182615,0.0358199,0
14000,2,25,0,0.177169,-0.0130152,0.0471159,0
15000,2,25,0,0.24556,-0.0111602,0.137461,0
16000,2,25,0,0.0807715,0.0276226,0.0591749,0
17000,2,25,0,0.196676,-0.00770435,0.130522,0
18000,2,25,0,0.150036,-0.00903139,0.0589556,0
19000,2,25,0,0.154028,-0.00310067,0.087412,0
20000,2,25,0,0.206964,-0.00250811,0.124826,0
21000,2,25,0,0.246204,-0.0160883,0.0940766,0
22000,2,25,0,0.291299,-0.0180506,0.128783,0
23000,2,25,0,0.372706,-0.0182014,0.207116,0
24000,2,25,0,0.322245,-0.019325,0.144654,0
25000,2,25,0,0.355032,-0.0200097,0.160796,0
26000,2,25,0,0.399736,-0.0241424,0.174311,0
27000,2,25,0,0.238052,-0.0167354,0.116412,0
28000,2,25,0,0.198933,-0.0106851,0.0822606,0
28000,116,NA,35.6659,0.222866,0.0035878,0.417728,0
29000,2,25,0,0.332824,-0.0185427,0.164753,0
30000,2,25,0,0.301603,-0.0121856,0.173272,0
31000,2,25,0,0.383006,-0.0121181,0.2176,0
32000,2,25,0,0.337296,-0.0151205,0.189267,0
33000,2,25,0,0.331796,-0.010524,0.201686,0
34000,2,25,0,0.202276,-0.00985224,0.0934233,0
35000,2,25,0,0.438245,-0.0214246,0.205021,0
36000,2,25,0,0.428358,-0.0205307,0.235448,0
37000,2,25,0,0.231088,-0.0136522,0.0844641,0
38000,2,25,0,0.217159,-0.0116863,0.106132,0
39000,2,25,0,0.270425,-0.0128404,0.156771,0
40000,2,25,0,0.247289,-0.0175482,0.0992685,0
41000,2,25,0,0.286977,-0.0165223,0.118227,0
42000,2,25,0,0.337751,-0.0166003,0.144094,0
43000,2,25,0,0.273078,-0.0172571,0.11451,0
44000,2,25,0,0.368808,-0.0171113,0.196179,0
45000,2,25,0,0.237198,-0.0188596,0.0876953,0
46000,2,25,0,0.288524,-0.018104,0.154604,0
47000,2,25,0,0.236648,-0.00907203,0.108204,0
48000,2,25,0,0.0643554,0.0326228,0.0131675,0
49000,2,25,0,0.102718,0.0131178,0.06821,0
50000,2,25,0,0.0992855,0.0103333,0.0538581,0
51000,2,25,0,0.248648,-0.00984793,0.130554,0
52000,2,25,0,0.149449,-0.00391425,0.0751199,0
53000,2,25,0,0.326365,-0.0153877,0.175586,0
54000,2,25,0,0.228627,-0.011227,0.1075,0
55000,2,25,0,0.246546,-0.0163667,0.110296,0
56000,2,25,0,0.0638693,0.0276942,0.0220527,0
57000,2,25,0,0.0860779,0.00619762,0.00349718,0
58000,2,25,0,0.118989,0.00212637,0.0711784,0
59000,2,25,0,0.130076,-0.000666123,0.0800683,0
60000,2,25,0,0.19213,-0.00460598,0.102398,0
61000,2,25,0,0.113841,0.00199073,0.0329558,0
62000,2,25,0,0.116509,0.00337085,0.0334567,0
63000,2,25,0,0.0928813,-0.00219003,0.00591169,0
64000,2,25,0,0.139732,-0.00425504,0.0544014,0
65000,2,25,0,0.0856665,0.00567384,0.0449897,0
66000,2,25,0,0.0948686,0.00722439,0.016426,0
67000,2,25,0,0.164435,-0.00680675,0.0519032,0
68000,2,25,0,0.0971405,0.00969406,0.0559792,0
69000,2,25,0,0.0919027,0.0261597,0.0802164,0
70000,2,25,0,0.0982453,0.0125403,0.0649225,0
71000,2,25,0,0.156805,-0.00432622,0.0731649,0
72000,2,25,0,0.0683976,0.0241987,0.0209803,0
73000,2,25,0,0.130074,-0.00520301,0.0362269,0
74000,2,25,0,0.120389,0.00616161,0.0674486,0
75000,2,25,0,0.174348,-0.00741338,0.0729086,0
76000,2,25,0,0.246629,-0.0139449,0.116963,0
77000,2,25,0,0.322816,-0.0190791,0.127967,0
78000,2,25,0,0.241084,-0.0114386,0.157108,0
79000,2,25,0,0.390352,-0.0140118,0.220337,0
80000,2,25,0,0.225751,-0.015998,0.0702898,0
81000,2,25,0,0.234189,-0.00891935,0.160323,0
82000,2,25,0,0.331089,-0.0145334,0.181798,0
83000,2,25,0,0.177121,-0.0125378,0.112534,0
84000,2,25,0,0.286937,-0.0177114,0.082819,0
85000,2,25,0,0.224773,-0.0144153,0.11979,0
86000,2,25,0,0.262413,-0.0150887,0.154567,0
87000,2,25,0,0.253701,-0.0195067,0.0988933,0
88000,2,25,0,0.362864,-0.0189747,0.173105,0
89000,2,25,0,0.303922,-0.0156742,0.169472,0
89000,62,73,27.1634,0.443586,0.00047464,0.39489,0
90000,2,25,0,0.122145,-0.00636284,0.0395949,0
91000,2,25,0,0.258398,-0.0174701,0.104051,0
92000,2,25,0,0.145188,-0.00200042,0.0586244,0
93000,2,25,0,0.21335,-0.0116109,0.133098,0
94000,2,25,0,0.169738,-0.00848443,0.0551588,0
95000,2,25,0,0.203994,-0.00530033,0.144939,0
96000,2,25,0,0.182105,-0.00585378,0.105501,0
97000,2,25,0,0.159376,-0.00532759,0.0525383,0
98000,2,25,0,0.214371,-0.0158524,0.0944066,0
99000,2,25,0,0.0862676,0.0156883,0.028573,0
100000,2,25,0,0.0790622,0.0244807,0.0283343,0
101000,2,25,0,0.300852,-0.0127147,0.187703,0
102000,2,25,0,0.314452,-0.0244681,0.123795,0
103000,2,25,0,0.445485,-0.0215539,0.240873,0
104000,2,25,0,0.253038,-0.0103981,0.149518,0
105000,2,25,0,0.486427,-0.0274648,0.189159,0
106000,2,25,0,0.369486,-0.0244586,0.162498,0
107000,2,25,0,0.286702,-0.016831,0.13608,0
108000,2,25,0,0.328235,-0.0123267,0.184913,0
109000,2,25,0,0.233537,-0.0132365,0.116288,0
110000,2,25,0,0.0918672,0.0217946,0.0881522,0
111000,2,25,0,0.335385,-0.0122535,0.183515,0
112000,2,25,0,0.344396,-0.022656,0.0922357,0
112000,110,NA,39.2349,0.493428,-0.00287871,0.0799826,0
113000,2,25,0,0.418063,-0.0352822,0.115153,0
113000,62,73,28.0763,0.253155,0.0438924,0.303258,0
114000,2,25,0,0.543044,-0.0243504,0.229334,0
115000,2,25,0,0.431602,-0.0179989,0.22363,0
116000,2,25,0,0.505646,-0.0198011,0.248419,0
117000,2,25,0,0.340021,-0.0249613,0.109975,0
118000,2,25,0,0.495604,-0.0170901,0.274334,0
119000,2,25,0,0.163235,-0.0115577,0.055988,0
120000,2,25,0,0.279603,-0.0105311,0.178421,0
121000,2,25,0,0.349646,-0.0176771,0.163142,0
122000,2,25,0,0.370993,-0.015679,0.193566,0
123000,2,25,0,0.226553,-0.00739006,0.12819,0
124000,2,25,0,0.20222,-0.0088382,0.111582,0
125000,2,25,0,0.203463,-0.0096602,0.0593139,0
126000,2,25,0,0.419031,-0.0160723,0.256674,0
127000,2,25,0,0.368349,-0.0194079,0.183299,0
128000,2,25,0,0.326535,-0.0136015,0.17557,0
129000,2,25,0,0.366158,-0.0200831,0.152493,0
130000,2,25,0,0.584783,-0.0310089,0.237941,0
131000,2,25,0,0.474753,-0.0256886,0.20673,0
132000,2,25,0,0.417165,-0.0190009,0.228483,0
133000,2,25,0,0.443718,-0.0173007,0.232182,0
134000,2,25,0,0.289016,-0.0200534,0.145997,0
135000,2,25,0,0.25693,-0.0168105,0.126044,0
136000,2,25,0,0.41814,-0.0172608,0.226632,0
137000,2,25,0,0.305379,-0.0230694,0.134654,0
138000,2,25,0,0.244776,-0.0145196,0.120935,0
139000,2,25,0,0.325749,-0.0141788,0.204426,0
140000,2,25,0,0.516758,-0.0310471,0.17055,0
141000,2,25,0,0.39633,-0.0236842,0.150899,0
142000,2,25,0,0.372298,-0.0210541,0.168804,0
143000,2,25,0,0.235349,-0.00699598,0.137127,0
144000,2,25,0,0.161314,-0.00685543,0.0801211,0
145000,2,25,0,0.235646,-0.0120797,0.106025,0
146000,2,25,0,0.174395,-0.0144506,0.0462243,0
147000,2,25,0,0.159803,-0.00551648,0.0748676,0
148000,2,25,0,0.11321,-0.00404686,0.0388725,0
149000,2,25,0,0.147755,-0.00507378,0.066785,0
150000,2,25,0,0.521734,-0.0180316,0.273378,0
151000,2,25,0,0.242433,-0.0131059,0.112054,0
152000,2,25,0,0.21389,-0.00984115,0.106297,0
153000,2,25,0,0.232514,-0.00764449,0.139601,0
154000,2,25,0,0.447522,-0.0260759,0.172416,0
155000,2,25,0,0.52686,-0.0270445,0.196984,0
156000,2,25,0,0.388529,-0.00960369,0.266896,0
157000,2,25,0,0.21523,-0.00832654,0.110304,0
158000,2,25,0,0.208663,-0.0122182,0.0988776,0
159000,2,25,0,0.0848066,0.0151315,0.0337702,0
160000,2,25,0,0.105517,0.026594,0.0902881,0
161000,2,25,0,0.0902031,0.00224944,0.0314031,0
162000,2,25,0,0.123008,-0.00903299,0.0558439,0
163000,2,25,0,0.0993509,0.00884285,0.0589177,0
164000,2,25,0,0.124697,-0.000125388,0.0746841,0
165000,2,25,0,0.122601,-0.00234727,0.0535749,0
166000,2,25,0,0.13582,-0.00326813,0.0550004,0
167000,2,25,0,0.104661,-0.00376335,0.0173821,0
168000,2,25,0,0.0991956,-0.00438262,0.019522,0
169000,2,25,0,0.151962,-0.000793267,0.0696631,0
170000,2,25,0,0.159825,-0.00606637,0.07796,0
171000,2,25,0,0.184651,-0.0126501,0.0649717,0
172000,2,25,0,0.161846,-0.00723937,0.0885228,0
173000,2,25,0,0.342914,-0.0191028,0.189107,0
174000,2,25,0,0.3031,-0.0213967,0.0979143,0
175000,2,25,0,0.300752,-0.0179529,0.147994,0
176000,2,25,0,0.234492,-0.0124466,0.125796,0
176000,36,41,40.242,1.12748,-0.00587371,0.0840092,0
177000,2,25,0,0.151687,-0.0134636,0.0230888,0
178000,2,25,0,0.214344,-0.00747253,0.111452,0
178000,62,73,34.0215,0.459357,0.00914203,0.386941,0
179000,2,25,0,0.226234,-0.0180611,0.0939837,0
180000,2,25,0,0.172316,-0.00860095,0.0813773,0
181000,2,25,0,0.280692,-0.0215568,0.084749,0
182000,2,25,0,0.25571,-0.0193148,0.115171,0
183000,2,25,0,0.517929,-0.0300596,0.196464,0
184000,2,25,0,0.444512,-0.024247,0.178832,0
185000,2,25,0,0.306774,-0.0209031,0.123412,0
186000,2,25,0,0.33078,-0.0135279,0.171548,0
187000,2,25,0,0.220787,-0.0101219,0.1025,0
188000,2,25,0,0.227404,-0.0112371,0.134898,0
189000,2,25,0,0.226795,-0.0116025,0.118536,0
190000,2,25,0,0.30181,-0.0190703,0.0976248,0
191000,2,25,0,0.187067,-0.00917299,0.103715,0
192000,2,25,0,0.164818,-0.00943112,0.0601863,0
193000,2,25,0,0.172401,-0.0115396,0.082899,0
194000,2,25,0,0.22362,-0.00734206,0.131925,0
194000,80,82,12.3457,0.0658276,0.0429861,0.0931143,0
195000,2,25,0,0.263431,-0.0161741,0.129983,0
196000,2,25,0,0.298683,-0.0229535,0.112374,0
196000,62,73,28.833,0.280892,0.0172597,0.252956,0
197000,2,25,0,0.39425,-0.0146075,0.243838,0
198000,2,25,0,0.28893,-0.0120865,0.162047,0
199000,2,25,0,0.311708,-0.0179477,0.135054,0
200000,2,25,0,0.316057,-0.0223582,0.0973669,0
201000,2,25,0,0.340042,-0.0183751,0.176779,0
202000,2,25,0,0.15053,-0.00210942,0.0864352,0
203000,2,25,0,0.277586,-0.0171121,0.153121,0
204000,2,25,0,0.0708726,0.0122114,0.0140394,0
204000,104,NA,36.5455,0.165184,-0.0116917,0.189966,0
205000,2,25,0,0.134754,-3.70367e-05,0.0830406,0
206000,2,25,0,0.300892,-0.016632,0.143417,0
207000,2,25,0,0.264544,-0.0198171,0.0885623,0
208000,2,25,0,0.34392,-0.0217148,0.145811,0
209000,2,25,0,0.288766,-0.0151659,0.161035,0
210000,2,25,0,0.324026,-0.014584,0.184505,0
211000,2,25,0,0.265598,-0.0103607,0.147485,0
212000,2,25,0,0.213662,-0.0148935,0.0855531,0
212000,62,73,7.32122,0.303416,0.0133147,0.173307,0
213000,2,25,0,0.211807,-0.0151205,0.0776193,0
