generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,3.47986,-387.422,1,0
1000,1,3.23841,-285.205,0.425392,0.411
2000,1,-2.95019,-271.995,1.21462,0.343
3000,3,2.62359,-271.228,4.36809,0.305
4000,1,2.15348,-282.01,0.841556,0.375906
5000,2,5.41301,-281.733,0.929791,0.374
6000,2,-2.26579,-273.615,2.55974,0.363939
7000,2,3.85002,-276.503,1.43522,0.395
8000,1,1.07767,-276.998,1.02409,0.3715
9000,1,-3.58115,-274.47,0.132421,0.311
10000,2,6.18903,-277.578,0.602369,0.3638
11000,1,-5.20194,-270.414,1.32101,0.3855
12000,1,-0.981879,-271.96,1.575,0.323
13000,1,-2.29542,-272.297,0.763359,0.36751
14000,2,-3.74105,-269.465,0.837091,0.36
15000,1,-3.83912,-272.197,0.0728596,0.3848
16000,1,-1.74809,-274.075,1.95229,0.381
17000,1,-0.968999,-273.591,1.0358,0.303
18000,2,-3.00576,-250.525,1.04111,0.44925
19000,2,-7.8296,-248.827,0.685989,0.425
20000,2,-1.91375,-254.957,2.05217,0.387
21000,2,-3.59889,-256.176,0.918807,0.387
22000,3,-0.0796671,-252.307,1.89962,0.387
23000,2,-0.737649,-250.013,0.964368,0.403
24000,2,-4.21426,-246.594,1.63176,0.411
25000,2,0.300057,-255.61,0.763982,0.412
26000,2,-0.802749,-251.272,1.1077,0.456
27000,2,0.140582,-254.29,1.30261,0.434
28000,2,-7.66844,-252.338,1.34953,0.434
29000,2,-1.90428,-248.17,0.914737,0.489
30000,3,-2.20225,-244.998,0.484392,0.451
31000,2,0.83379,-257.155,1.47738,0.454
32000,2,-5.95717,-250.776,3.88819,0.395
33000,2,-3.61288,-250.927,3.00782,0.427
34000,4,4.99374,-252.976,1.4848,0.447
35000,2,-5.34562,-248.053,0.564646,0.425
36000,3,-1.38512,-249.846,1.52948,0.459
37000,2,-3.51806,-251.303,0.658629,0.456
38000,2,-5.08993,-249.567,2.87219,0.41
39000,5,1.52669,-247.962,2.32708,0.458
40000,3,-4.9663,-245.694,3.87541,0.469
41000,2,-1.62294,-255.335,1.59816,0.462
42000,2,0.309346,-254.775,0.367782,0.40192
43000,4,2.14964,-252.624,3.01938,0.392607
44000,3,2.15676,-259.01,2.19334,0.455
45000,2,-12.3592,-249.681,1.3161,0.414
46000,2,0.967478,-262.066,3.82373,0.393205
47000,3,-1.18867,-251.127,2.68109,0.432
48000,2,-7.94102,-259.005,0.89162,0.4575
49000,2,-9.83641,-247.493,0.395484,0.412
50000,2,0.0135453,-248.528,0.367742,0.399
51000,2,-4.64077,-246.462,1.68622,0.41375
52000,3,-7.86965,-249.403,3.25622,0.430364
53000,3,0.387083,-249.623,3.21862,0.425
54000,2,0.725784,-255.244,0.475818,0.445333
55000,2,-4.67186,-250.92,2.96596,0.501
56000,2,-2.3263,-252.547,1.17234,0.478
57000,2,-9.16371,-251.432,1.49886,0.426429
58000,3,-2.79843,-248.591,3.83117,0.451
59000,4,6.69347,-250.078,2.14532,0.444765
60000,5,4.48604,-245.437,2.18583,0.448
61000,5,2.9659,-249.623,3.89292,0.4714
62000,2,-4.13194,-251.601,1.56717,0.456
63000,2,-2.32887,-252.569,1.26747,0.434
64000,2,-5.05702,-246.613,1.62461,0.422
65000,5,2.22341,-240.112,5.21394,0.4622
66000,2,0.253707,-253.348,2.40711,0.449625
67000,3,1.78086,-246.838,2.41316,0.416
68000,2,-5.77637,-248.702,1.29531,0.403
