generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1,47,0,0.032,0,0.005,0
1000,1,47,0,0.143559,-0.00378759,0.0865761,0
1000,63,64,39.1479,0.408435,0.0188021,0.0294953,0
2000,1,47,0,0.23738,-0.00971916,0.108065,0
3000,1,47,0,0.0699902,0.0889696,0.0662995,0
4000,1,47,0,0.0832885,0.0300665,0.0427332,0
5000,1,47,0,0.17266,-0.00737632,0.0469935,0
6000,1,47,0,0.108315,0.0165565,0.0727117,0
7000,1,47,0,0.0857629,0.0301448,0.0656479,0
8000,1,47,0,0.0997767,0.0443663,0.12317,0
9000,1,47,0,0.212013,-0.0100968,0.0467012,0
10000,1,47,0,0.286557,-0.0133173,0.143244,0
11000,1,47,0,0.323329,-0.0209897,0.0942095,0
12000,1,47,0,0.238718,-0.0195106,0.0192876,0
13000,1,47,0,0.338906,-0.0200974,0.100164,0
14000,1,47,0,0.252916,-0.0102318,0.098337,0
15000,1,47,0,0.189831,-0.00735224,0.06535,0
16000,1,47,0,0.157285,-0.00824253,0.0248033,0
16000,100,102,22.2799,0.0582332,0.0169423,0.152112,0
17000,1,47,0,0.127554,0.00922545,0.092756,0
18000,1,47,0,0.14902,-0.00882968,0.0104665,0
19000,1,47,0,0.121496,0.027634,0.121657,0
20000,1,47,0,0.299145,-0.00898239,0.194545,0
21000,1,47,0,0.119326,0.00945135,0.0832578,0
22000,1,47,0,0.135777,0.0101287,0.0948065,0
23000,1,47,0,0.152784,-0.000924663,0.0876544,0
24000,1,47,0,0.126816,-0.00428136,0.0300338,0
25000,1,47,0,0.1293,-0.00542679,0.0356652,0
26000,1,47,0,0.264513,-0.00851694,0.142642,0
27000,1,47,0,0.216488,-0.0119849,0.0906729,0
28000,1,47,0,0.302041,-0.0158799,0.140084,0
29000,1,47,0,0.0851451,0.020067,0.0333722,0
30000,1,47,0,0.0756264,0.0396692,0.0412499,0
30000,48,NA,43.3356,0.156465,-0.0180709,0.407758,0
31000,1,47,0,0.0890033,0.0174379,0.0385003,0
32000,1,47,0,0.140816,-0.000682353,0.0891449,0
33000,1,47,0,0.140233,-0.00159426,0.0121819,0
34000,1,47,0,0.126297,0.00904261,0.0749886,0
35000,1,47,0,0.243249,-0.013199,0.0765882,0
36000,1,47,0,0.215813,-0.00726498,0.084486,0
37000,1,47,0,0.0640198,0.0263316,0.00157142,0
38000,1,47,0,0.116576,0.00395526,0.0152629,0
39000,1,47,0,0.108964,0.00463369,0.0129073,0
40000,1,47,0,0.104143,0.0213362,0.0729977,0
41000,1,47,0,0.0862804,0.0229565,0.0731153,0
42000,1,47,0,0.127042,0.00955864,0.0664414,0
43000,1,47,0,0.100019,0.00247502,0.0215053,0
44000,1,47,0,0.0999441,0.00730916,0.0178055,0
45000,1,47,0,0.232655,-0.0100787,0.0733893,0
46000,1,47,0,0.222645,-0.0113228,0.0910668,0
47000,1,47,0,0.157606,-0.00226385,0.0927739,0
48000,1,47,0,0.247705,-0.00738459,0.143877,0
49000,1,47,0,0.187548,-0.0108694,0.0261446,0
50000,1,47,0,0.232974,-0.00879754,0.119148,0
51000,1,47,0,0.293212,-0.0138594,0.0953272,0
52000,1,47,0,0.2792,-0.0143745,0.0959073,0
53000,1,47,0,0.298072,-0.0197031,0.0584985,0
54000,1,47,0,0.232435,-0.0083367,0.0601282,0
54000,51,NA,40.485,0.529121,-0.00852427,0.861331,0
55000,1,47,0,0.103758,0.00459929,0.0224274,0
56000,1,47,0,0.0759489,0.018419,0.0170795,0
57000,1,47,0,0.0800295,0.0155001,0.00992965,0
58000,1,47,0,0.164199,-0.00474648,0.0604594,0
59000,1,47,0,0.145635,-0.00483532,0.00858546,0
60000,1,47,0,0.0878401,0.0095285,0.00788137,0
61000,1,47,0,0.11325,0.00283667,0.012257,0
62000,1,47,0,0.0705999,0.033712,0.0374751,0
62000,63,66,37.8612,0.503298,-0.00297678,0.239548,0
63000,1,47,0,0.0907565,0.016568,0.042907,0
64000,1,47,0,0.109148,0.00441061,0.0123608,0
65000,1,47,0,0.200976,-0.0015173,0.0968125,0
66000,1,47,0,0.349305,-0.0208058,0.0950129,0
67000,1,47,0,0.100789,4.02221e-05,0.00596289,0
68000,1,47,0,0.0801816,0.0354348,0.044477,0
68000,15,NA,30.7657,0.0315678,-0.0221589,0.0996297,0
69000,1,47,0,0.0977968,0.0125406,0.0539882,0
70000,1,47,0,0.0786707,0.0199677,0.0275631,0
71000,1,47,0,0.0767511,0.0425255,0.0315611,0
72000,1,47,0,0.095533,0.0115051,0.0355564,0
73000,1,47,0,0.114391,0.0132016,0.0764053,0
74000,1,47,0,0.117536,0.00275509,0.0466846,0
75000,1,47,0,0.0714237,0.030143,0.0381424,0
76000,1,47,0,0.0811959,0.0269213,0.0203972,0
77000,1,47,0,0.0705388,0.0220694,0.0291261,0
78000,1,47,0,0.0783284,0.025958,0.0252593,0
79000,1,47,0,0.123524,0.00259745,0.038765,0
80000,1,47,0,0.139557,-0.000598464,0.0739591,0
81000,1,47,0,0.161384,0.003625,0.103333,0
