generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,15,385,0,0.0179039,0,0.005,0
1000,15,385,0,0.0327621,0,0.0230918,0
2000,15,385,0,0.044064,0,0.0374112,0
3000,15,385,0,0.0494275,-3.81358e-05,0.0374974,0
4000,15,385,0,0.0411366,0,0.0324458,0
5000,15,385,0,0.0348166,0.000619174,0.0276261,0
6000,15,385,0,0.0529506,-4.74137e-05,0.040888,0
7000,15,385,0,0.048415,-4.74137e-05,0.0409901,0
7000,528,NA,276.42,0.0992712,-0.00466625,0.0432771,0
8000,15,385,0,0.0377598,0.00132207,0.0388027,0
9000,15,385,0,0.025292,0.00572212,0.0338267,0
10000,15,385,0,0.0329182,-0.000349185,0.0223172,0
11000,15,385,0,0.0313765,0.000383143,0.0237459,0
12000,15,385,0,0.0289911,0.00035678,0.0228159,0
13000,15,385,0,0.0491677,0.00035678,0.0418194,0
14000,15,385,0,0.0277919,0.0019709,0.0317001,0
15000,15,385,0,0.0321966,0.00204849,0.0366117,0
16000,15,385,0,0.0332662,0.00204849,0.0420169,0
17000,15,385,0,0.0232919,0.00285318,0.0155648,0
18000,15,385,0,0.0248438,0.00580921,0.0372589,0
19000,15,385,0,0.0230652,0.00569318,0.0250322,0
20000,15,385,0,0.029365,0.00273257,0.0326909,0
21000,15,385,0,0.0235965,0.00906162,0.0339163,0
22000,15,385,0,0.0269325,0.00225222,0.0257484,0
23000,15,385,0,0.0305542,0.00443627,0.0392163,0
24000,15,385,0,0.0383157,0.00107595,0.0341791,0
25000,15,385,0,0.0370024,0.00339983,0.0440957,0
26000,15,385,0,0.0297661,0.00483607,0.0475263,0
27000,15,385,0,0.0236934,0.00472066,0.0278394,0
28000,15,385,0,0.0206496,0.00290992,0.00940455,0
29000,15,385,0,0.0298213,0.00264172,0.0341878,0
30000,15,385,0,0.0336757,0.00290226,0.0349241,0
31000,15,385,0,0.0307881,0.00310211,0.0413424,0
32000,15,385,0,0.0253983,0.00358869,0.0270946,0
33000,15,385,0,0.0167822,0.00630871,0.0150103,0
34000,15,385,0,0.0232084,0.00520824,0.0293455,0
35000,15,385,0,0.0292138,0.00134117,0.0254114,0
36000,15,385,0,0.0231382,0.00591757,0.0332328,0
37000,15,385,0,0.0309727,0.00369505,0.0351302,0
38000,15,385,0,0.0169346,0.00620306,0.0131302,0
39000,15,385,0,0.031824,0.00251391,0.0347276,0
40000,15,385,0,0.0353407,0.00234921,0.0421935,0
41000,15,385,0,0.0280163,0.00533425,0.0407204,0
42000,15,385,0,0.0331265,0.00414087,0.0414392,0
43000,15,385,0,0.0247196,0.00217099,0.0199591,0
44000,15,385,0,0.0306169,0.00147528,0.026703,0
45000,15,385,0,0.022594,0.00147528,0.0220806,0
46000,15,385,0,0.029132,0.00199111,0.0266564,0
47000,15,385,0,0.0248423,0.00542234,0.0311963,0
48000,15,385,0,0.0176834,0.00502007,0.0170804,0
49000,15,385,0,0.0254905,0.00155999,0.0190564,0
50000,15,385,0,0.0284038,0.0054768,0.0361745,0
51000,15,385,0,0.027649,0.00195602,0.0362667,0
52000,15,385,0,0.0416583,0.00206897,0.0419781,0
53000,15,385,0,0.0335112,0.00206897,0.0314727,0
54000,15,385,0,0.0272699,0.00532454,0.0367701,0
55000,15,385,0,0.0187713,0.00707234,0.0149177,0
56000,15,385,0,0.0220453,0.00341976,0.02245,0
56000,27,NA,265.675,0.0988015,-0.00256681,0.0417236,0
57000,15,385,0,0.0515292,-0.000262417,0.0482839,0
58000,15,385,0,0.0390081,0.00155,0.0409927,0
59000,15,385,0,0.0267587,0.00155,0.0243357,0
60000,15,385,0,0.0570446,-0.000301178,0.0472533,0
61000,15,385,0,0.0545181,-0.000301178,0.044988,0
62000,15,385,0,0.0536048,-0.00048011,0.0412011,0
63000,15,385,0,0.054351,-0.000325323,0.0394264,0
64000,15,385,0,0.0736811,-0.000325323,0.0655753,0
65000,15,385,0,0.0764076,-0.000325323,0.069173,0
66000,15,385,0,0.0664772,-0.000325323,0.0570896,0
67000,15,385,0,0.0517118,-0.000325323,0.0445182,0
68000,15,385,0,0.0433247,-0.000325323,0.0342789,0
69000,15,385,0,0.0368264,-0.000325323,0.0239215,0
70000,15,385,0,0.0427103,0.000434349,0.0399603,0
71000,15,385,0,0.0461802,0.000464909,0.0433826,0
72000,15,385,0,0.0362225,0.0016434,0.0445514,0
73000,15,385,0,0.0371311,0.00184381,0.0416166,0
74000,15,385,0,0.0327325,0.00073814,0.0285488,0
75000,15,385,0,0.0410344,0.00073814,0.0349154,0
76000,15,385,0,0.0689441,0.000440329,0.0704952,0
77000,15,385,0,0.0450552,-0.000547248,0.0317936,0
78000,15,385,0,0.0724213,-0.00149681,0.0536499,0
79000,15,385,0,0.063754,-0.00149681,0.0423094,0
80000,15,385,0,0.0471427,0.000196397,0.0395036,0
81000,15,385,0,0.0465484,0.000196397,0.0473023,0
82000,15,385,0,0.0449255,0.000196397,0.0403178,0
83000,15,385,0,0.0455037,3.7535e-05,0.0399025,0
84000,15,385,0,0.0600694,-0.00072727,0.044379,0
85000,15,385,0,0.0582051,-0.00072727,0.0450529,0
86000,15,385,0,0.0674099,-0.00106889,0.0504294,0
87000,15,385,0,0.0716325,-0.00106889,0.0544189,0
88000,15,385,0,0.0666422,-0.00106889,0.0454593,0
88000,58,NA,141.103,0.0214621,-0.00378207,0.00278591,0
89000,15,385,0,0.0617402,-0.00112713,0.0452988,0
90000,15,385,0,0.0640469,-0.0013646,0.0451597,0
91000,15,385,0,0.0886754,-0.0013646,0.063962,0
92000,15,385,0,0.0884502,-0.00162371,0.0659998,0
93000,15,385,0,0.0783276,-0.00162371,0.0525832,0
94000,15,385,0,0.0557247,-0.000704662,0.0414388,0
95000,15,385,0,0.0810034,-0.000659789,0.0642709,0
96000,15,385,0,0.060772,-0.00188476,0.0360573,0
97000,15,385,0,0.0638602,-0.00150195,0.0362198,0
98000,15,385,0,0.0719014,-0.00150195,0.0497925,0
99000,15,385,0,0.0741817,-0.00120004,0.0528958,0
100000,15,385,0,0.0615206,-0.00158285,0.039288,0
101000,15,385,0,0.0695903,-0.00085519,0.0531294,0
102000,15,385,0,0.075644,-0.00085519,0.0556676,0
103000,15,385,0,0.0482084,-0.00116101,0.0342314,0
