generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,3.70392,-380.005,1,1
1000,0,3.77557,-337.539,0.323127,0.20979
2000,0,3.91174,-335.603,0.103291,0.207896
3000,0,0.202892,-337.292,0.902855,0.224
4000,1,6.6676,-337.135,0.33867,0.201
5000,0,3.14016,-336.013,0.4088,0.202
6000,0,3.29352,-335.798,0.474542,0.217797
7000,0,2.95167,-336.983,0.678343,0.2425
8000,0,1.06435,-336.741,2.11138,0.194
9000,0,2.40921,-333.521,0.908803,0.175
10000,0,3.14378,-333.799,0.367418,0.207889
11000,0,3.40871,-334.554,0.295409,0.215
12000,0,3.25892,-335.076,0.582961,0.19725
13000,0,2.41669,-335.787,1.41217,0.22
14000,2,8.63077,-327.132,1.56184,0.34
15000,1,4.8413,-327.951,2.44613,0.444
16000,1,1.84229,-331.572,1.46763,0.407
17000,2,8.96466,-327.868,1.50316,0.3224
18000,1,5.41806,-327.524,0.452664,0.338
19000,1,3.99878,-327.305,0.983842,0.283
20000,1,2.05732,-327.622,2.9169,0.315
21000,1,5.38029,-326.346,0.515977,0.2771
22000,1,5.69115,-333.388,0.54648,0.318
23000,1,6.09006,-334.03,0.278332,0.317
24000,1,3.85666,-327.39,0.364562,0.35825
25000,2,6.82461,-326.404,0.990937,0.369
26000,1,5.90924,-328.253,0.215949,0.341
27000,1,4.65607,-328.779,0.797148,0.33
28000,1,4.9399,-327.546,1.38417,0.321
29000,0,2.57182,-333.493,0.180608,0.194667
30000,1,2.89034,-328.3,3.54407,0.332
31000,1,4.13054,-330.888,0.451657,0.335
32000,2,2.05773,-330.493,0.877186,0.378
33000,0,2.07948,-332.941,0.764844,0.16125
34000,0,2.84793,-332.793,0.211434,0.168
35000,0,2.97335,-334.91,0.626239,0.155
36000,1,-0.550681,-326.621,3.98093,0.354
37000,1,2.58654,-326.496,1.58991,0.333
38000,1,4.06096,-327.807,0.402716,0.329
39000,2,8.17561,-327.266,1.11197,0.398
40000,2,8.56749,-327.645,2.05246,0.397
41000,0,1.6055,-333.862,0.223469,0.196375
42000,0,2.73669,-333.216,0.239151,0.235115
43000,0,2.84991,-332.834,0.0763039,0.178
44000,1,3.3443,-327.844,1.4109,0.35975
45000,0,2.43347,-334.236,1.17293,0.163
46000,0,2.96627,-334.025,0.294849,0.181818
47000,0,2.04438,-333.309,0.36533,0.164167
48000,0,1.52694,-333.035,1.50673,0.1775
49000,0,3.08345,-333.861,0.0795921,0.149
50000,1,4.51725,-335.73,0.959158,0.183
51000,0,2.40226,-332.839,0.35394,0.235
52000,0,2.9323,-332.942,0.107488,0.17
53000,0,2.60811,-333.343,0.0156963,0.166714
54000,1,4.99789,-335.123,0.81881,0.165
55000,2,3.36887,-335.049,1.68341,0.231
56000,0,2.9966,-333.303,0.0773379,0.283
57000,0,3.28726,-334.17,0.0185425,0.138
58000,0,2.7875,-334.497,0.559656,0.175182
59000,0,1.08974,-333.215,1.49943,0.166
60000,0,2.55947,-333.133,0.512858,0.180933
61000,0,1.45056,-333.441,0.63635,0.178778
62000,0,1.63071,-333.536,0.561314,0.137
63000,0,1.90868,-332.956,0.529863,0.272
64000,0,2.49211,-333.833,0.470373,0.169
65000,0,2.46224,-332.752,0.377725,0.196857
66000,0,2.5144,-333.582,0.993816,0.2035
67000,0,3.29707,-335.877,0.0332459,0.188625
68000,0,2.71987,-336.153,0.87078,0.207
69000,0,3.77869,-335.619,0.0659312,0.192
70000,0,2.87051,-334.294,0.181339,0.18
71000,0,1.47484,-334.798,0.794702,0.175167
72000,0,1.76004,-333.562,1.1708,0.171
73000,0,2.35659,-333.105,0.209105,0.166
74000,0,1.40348,-333.681,0.732935,0.147
75000,0,2.25199,-332.982,0.299699,0.147
76000,0,1.6909,-334.061,0.000587123,0.188
77000,0,2.46278,-333.209,0.202457,0.145
78000,0,2.21037,-333.206,0.230889,0.221
79000,0,2.12233,-336.578,1.20157,0.184778
80000,0,2.62285,-333.759,0.90716,0.182375
81000,0,2.45011,-333.469,0.996201,0.163
82000,0,3.57344,-335.694,0.0922244,0.168
83000,0,3.01616,-333.188,0.324589,0.19
84000,0,3.61249,-334.868,0.207084,0.173
85000,0,3.1301,-333.545,0.254246,0.180143
86000,0,3.586,-335.447,0.00719349,0.182
87000,0,2.49619,-335.116,1.02695,0.165813
88000,0,2.546,-333.409,0.716482,0.188
89000,0,2.86137,-333.887,0.692023,0.179
90000,0,2.84549,-335.609,0.373847,0.147
91000,0,2.73491,-335.266,0.574877,0.153
92000,0,3.39946,-335.311,0.231798,0.186
93000,0,2.99965,-334.525,0.0805729,0.166
94000,0,1.84439,-333.102,0.911552,0.165467
95000,0,2.63775,-333.901,0.0806205,0.1605
96000,0,3.15239,-333.199,0.137234,0.1625
97000,0,1.53066,-335.019,0.246994,0.165545
98000,0,2.06564,-333.838,0.324875,0.172
99000,0,2.55783,-333.315,0.211958,0.175
100000,0,3.28645,-334.832,0.543923,0.172687
101000,0,2.8256,-334.468,0.379976,0.2
102000,0,3.03257,-333.797,0.101845,0.164
103000,0,3.25715,-333.245,0.0399793,0.18
104000,0,3.63992,-335.852,0.016734,0.19975
105000,0,3.23496,-337.469,0.53161,0.218
106000,0,2.89883,-336.144,0.780393,0.178
107000,1,6.00773,-333.696,0.274703,0.18225
108000,1,4.44706,-327.068,1.66601,0.341
109000,1,7.20806,-328.162,0.0910644,0.385
110000,1,5.69539,-330.575,1.11054,0.385
111000,1,5.33845,-326.907,0.855463,0.313
112000,1,7.15483,-327.956,0.433021,0.396
113000,1,6.58503,-330.326,0.957294,0.425
114000,1,5.25138,-328.148,1.70317,0.396
115000,2,7.0246,-328.892,1.18992,0.46
116000,1,5.00171,-328.82,1.68118,0.474
117000,3,9.78754,-330.252,1.4913,0.499
118000,1,2.60972,-329.115,1.3867,0.34
