generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.33118,-350.061,1,1
1000,2,9.36772,-285.256,1.56173,0.288
2000,2,11.341,-286.785,0.574764,0.447
3000,2,11.9384,-284.69,0.867328,0.452
4000,1,4.95181,-284.573,0.924087,0.454
5000,0,2.53288,-289.744,0.338279,0.204
6000,0,2.85993,-289.587,0.0273381,0.205466
7000,0,2.43236,-290.03,0.0024466,0.224
8000,0,1.37021,-290.242,1.15378,0.16
9000,1,3.60417,-290.315,1.13524,0.172314
10000,0,-1.49027,-290.522,1.87359,0.1982
11000,0,2.8827,-292.402,0.58305,0.179
12000,1,1.92523,-288.936,3.26699,0.23
13000,0,1.32624,-289.713,0.808584,0.196
14000,0,0.891812,-289.482,0.427029,0.194
15000,0,1.42322,-290.811,0.0118038,0.1948
16000,0,1.80622,-292.178,0.474965,0.29
17000,0,3.0596,-289.849,0.167012,0.187518
18000,0,0.215744,-288.637,1.15605,0.164889
19000,0,1.47782,-289.336,0.0408122,0.209
20000,1,2.59628,-270.374,0.844078,0.189333
21000,2,1.26806,-264.194,1.72771,0.373
22000,2,3.34828,-253.574,2.17001,0.396
23000,2,9.21534,-253.391,0.668682,0.392
24000,2,8.07379,-251.339,1.69314,0.454
25000,4,15.9259,-252.232,2.68869,0.434
26000,3,14.5628,-253.92,1.12736,0.502
27000,3,12.3127,-242.404,0.937509,0.455
28000,1,5.13306,-259.1,1.01868,0.363667
29000,1,5.40812,-260.575,1.71832,0.384
30000,6,19.0851,-252.332,3.82973,0.367071
31000,1,2.17614,-255.624,0.513878,0.439
32000,1,7.9707,-259.528,0.464401,0.425
33000,1,4.7832,-255.327,1.07767,0.4485
34000,1,5.26698,-256.713,0.366329,0.394
35000,2,6.20275,-254.752,0.584245,0.404667
36000,2,9.34326,-257.333,1.47221,0.433
37000,2,9.12475,-255.281,1.62113,0.413
38000,1,6.61466,-258.969,0.382234,0.4065
39000,2,3.15376,-259.817,1.86561,0.433
40000,2,6.3517,-255.171,1.09694,0.409
41000,3,9.34389,-254.088,2.46065,0.471
42000,4,18.4067,-252.284,0.778845,0.482
43000,4,18.2387,-257.06,0.452579,0.471
44000,2,8.36118,-255.122,1.85423,0.455
45000,2,8.71707,-252.958,0.88221,0.426
46000,2,7.70399,-256.246,2.63581,0.396
47000,1,6.19168,-257.772,0.870998,0.401
48000,1,3.25838,-257.435,0.585823,0.394618
49000,2,6.88614,-257.071,0.420983,0.414
50000,2,6.62311,-260.821,1.99065,0.436
51000,1,4.59082,-258.329,0.257461,0.418
52000,2,8.36757,-259.287,0.848044,0.435
53000,1,5.38401,-256.768,2.08149,0.43625
54000,2,8.38445,-253.224,0.537043,0.430741
55000,4,10.457,-254.077,1.09115,0.43
56000,2,6.28053,-257.429,4.2645,0.41725
57000,2,8.86512,-260.751,0.404767,0.432
58000,1,3.71473,-255.927,0.934836,0.473
59000,2,9.08582,-260.002,0.987827,0.421556
60000,1,5.82171,-259.474,1.53147,0.414
61000,1,7.02581,-258.399,0.792425,0.41
62000,2,8.65277,-251.018,2.48985,0.452857
63000,4,16.799,-256.182,5.18142,0.458
64000,2,7.96663,-248.947,0.827234,0.432333
65000,1,5.66016,-257.303,0.232016,0.446
66000,2,6.316,-258.074,4.29752,0.435
67000,1,4.78229,-257.484,0.488637,0.421667
68000,2,7.30334,-257.875,0.794989,0.453
69000,1,6.04204,-261.445,0.842718,0.453667
70000,1,2.7832,-258.086,0.663258,0.395
71000,2,10.6584,-263.62,0.86583,0.38
72000,1,3.46563,-255.909,0.608047,0.399
73000,2,6.27157,-251.729,1.26812,0.448
74000,2,9.0623,-255.231,0.608427,0.4325
75000,1,4.22058,-259.619,1.37504,0.423773
76000,2,11.1005,-257.964,0.759489,0.457
77000,1,7.69704,-264.317,0.638564,0.45175
78000,1,6.36189,-260.114,0.389074,0.432
79000,1,4.6682,-255.534,1.02108,0.422
80000,1,5.18284,-255.62,1.09606,0.422
81000,3,14.7427,-248.953,1.29848,0.456286
82000,3,10.7224,-246.425,1.59792,0.471
83000,5,19.7199,-248.258,3.21206,0.457
84000,6,21.3186,-247.767,4.14864,0.497
85000,8,26.7442,-240.624,2.75925,0.494
86000,3,12.5672,-238.007,0.939519,0.469
87000,3,4.31942,-239.651,4.12245,0.458
88000,4,16.6763,-241.785,1.40547,0.436
89000,3,8.23773,-239.838,2.27108,0.439
90000,3,9.10245,-240.752,1.65456,0.45
91000,4,9.5266,-248.504,1.52349,0.428
92000,3,10.3435,-241.436,0.852359,0.423
93000,4,16.3273,-242.456,1.3621,0.452
94000,3,11.2836,-244.546,1.83551,0.493
95000,4,15.863,-242.897,0.861805,0.458
96000,3,10.0341,-244.657,2.55151,0.446
97000,4,15.8359,-249.695,0.660643,0.471
98000,4,16.6714,-251.588,1.94796,0.497
99000,4,12.4691,-253.548,1.60566,0.433895
100000,3,0.678286,-247.021,1.73808,0.422
101000,3,12.317,-242.487,0.962578,0.463
102000,3,6.72474,-246.912,2.59854,0.457
103000,2,6.05793,-250.325,0.198646,0.465
104000,5,15.856,-245.755,1.66951,0.455
105000,4,8.97195,-253.388,2.91568,0.466
106000,2,6.78571,-258.722,1.6127,0.438867
107000,3,12.6321,-259.106,0.680944,0.468
108000,1,6.38156,-257.297,0.853885,0.4344
109000,1,5.64296,-256.965,0.577946,0.376
110000,1,5.12161,-259.216,0.452657,0.38
111000,4,17.6396,-258.658,1.83227,0.412
112000,2,5.52463,-250.195,1.44005,0.496
113000,3,10.3492,-250.154,1.88044,0.419
114000,2,7.95897,-252.27,2.58191,0.382
115000,4,14.2284,-261.241,2.59549,0.437667
116000,3,10.8501,-257.603,3.12589,0.457857
117000,2,12.1459,-255.917,0.47085,0.462
118000,3,13.6115,-259.072,2.19698,0.426
119000,2,6.75774,-250.39,0.898659,0.508
120000,2,8.33148,-254.491,2.63293,0.46
121000,2,8.63821,-256.93,0.915893,0.403
122000,5,19.8772,-258.573,2.36667,0.415
123000,4,8.0515,-251.397,4.78995,0.438
124000,3,10.6978,-250.263,4.29877,0.429
125000,4,12.5627,-247.192,2.80024,0.397
126000,3,12.0782,-253.87,2.96942,0.428455
127000,2,3.51774,-247.337,0.991387,0.449
128000,4,12.1396,-255.646,6.25094,0.4795
129000,2,6.46329,-251.477,1.05434,0.388
130000,4,17.3279,-257.346,0.561985,0.506
131000,3,8.8966,-244.644,1.60133,0.4395
132000,2,5.51471,-245.426,1.68995,0.41
133000,2,6.33673,-248.097,0.930563,0.416
134000,2,5.56778,-244.307,0.670853,0.413
135000,3,7.17006,-243.712,1.54242,0.4598
136000,7,19.8302,-239.572,2.88439,0.478
137000,7,17.2318,-241.134,4.53822,0.475
138000,4,10.4064,-239.274,5.02401,0.5
139000,4,14.8609,-238.416,1.99035,0.475
140000,4,10.3652,-239.683,3.7272,0.483
141000,5,16.2074,-241.253,3.15394,0.441
142000,4,14.6126,-237.893,4.10307,0.472
143000,4,14.6891,-235.414,2.83073,0.465
144000,3,7.35439,-246.735,3.6926,0.47
145000,2,6.56796,-245.429,0.863856,0.452727
146000,2,5.99002,-249.939,1.8478,0.424
147000,2,5.21182,-248.622,2.92065,0.457667
148000,2,2.71195,-244.124,1.19477,0.491
149000,7,23.5529,-247.033,2.66518,0.489
150000,7,24.3285,-247.671,3.56186,0.4725
151000,4,8.86801,-244.879,2.93102,0.445
152000,2,5.41482,-249.684,2.39354,0.432
153000,2,6.56912,-253.389,1.84986,0.395
154000,3,13.0144,-258.173,0.896604,0.445
155000,2,7.68757,-250.814,3.01966,0.456167
156000,3,12.8851,-256.254,1.43898,0.433
157000,3,7.89373,-251.29,4.06529,0.475
158000,2,4.86307,-253.347,4.06916,0.447
159000,2,6.77672,-254.257,0.560941,0.439
160000,4,7.08556,-247.563,4.65238,0.456
161000,4,13.2197,-248.556,1.60447,0.42
162000,4,14.3074,-253.639,1.93382,0.428
163000,2,7.19756,-258.992,1.848,0.443
164000,1,5.36936,-258.776,1.16005,0.411
165000,2,8.76836,-254.563,0.657817,0.438091
166000,2,7.76193,-249.707,2.14806,0.412
167000,1,3.83933,-258.097,1.90328,0.43
168000,2,4.77337,-256.353,2.51138,0.441
169000,3,13.2,-256.562,1.61446,0.473
170000,2,6.79421,-252.316,2.58336,0.475
171000,2,9.91062,-252.456,0.567159,0.459
172000,3,14.8115,-253.633,1.61,0.482
173000,1,3.70079,-261.084,1.06558,0.455
174000,2,8.00584,-255.835,1.80722,0.401
175000,1,3.81453,-257.511,1.93017,0.421
176000,1,7.10947,-258.097,0.364876,0.38
177000,1,6.41265,-262.611,2.32085,0.421692
178000,1,6.54623,-258.105,0.793279,0.415
