generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,469,875,0,0.032,0,0.005,0
1000,469,875,0,0.0115115,0,0.0100108,0
2000,469,875,0,0.0115762,0,0.0107456,0
3000,469,875,0,0.011184,0,0.00839532,0
4000,469,875,0,0.00766383,1.64764e-06,0.00623286,0
4000,469,502,1109.48,0.0271568,-0.000527827,0.0166547,0
4000,529,534,1104.37,0.0274187,-0.00124354,0.0134309,0
5000,469,875,0,0.00984947,1.64764e-06,0.00708067,0
5000,469,502,1154.08,0.0207527,0.000339603,0.00263249,0
5000,953,956,726.187,0.0044954,0.000748608,0.00584611,0
6000,469,875,0,0.0118771,2.0271e-05,0.0106929,0
7000,469,875,0,0.0129573,-4.31566e-05,0.0112857,0
8000,469,875,0,0.014969,-2.45332e-05,0.0136816,0
9000,469,875,0,0.0132928,-4.31566e-05,0.0118865,0
10000,469,875,0,0.0128976,-4.31566e-05,0.0111183,0
11000,469,875,0,0.0190849,-0.000133563,0.0164199,0
12000,469,875,0,0.0127435,-0.000133563,0.00979465,0
13000,469,875,0,0.0133451,-0.000133563,0.00966233,0
14000,469,875,0,0.0109579,-0.000133563,0.00821132,0
14000,469,488,1206.2,0.0249085,0.00102561,0.0153041,0
15000,469,875,0,0.012615,-0.000133563,0.00989052,0
16000,469,875,0,0.0157345,-0.000133563,0.0127205,0
17000,469,875,0,0.0108534,-4.31566e-05,0.00919456,0
18000,469,875,0,0.0135273,-0.000133563,0.0106247,0
19000,469,875,0,0.00780551,0.000344052,0.00791809,0
20000,469,875,0,0.0094954,0.000344052,0.010324,0
21000,469,875,0,0.00733376,0.000206078,0.0059327,0
22000,469,875,0,0.0103068,-4.31566e-05,0.00805207,0
23000,469,875,0,0.0137673,-4.31566e-05,0.011064,0
24000,469,875,0,0.0122345,5.93495e-06,0.010929,0
25000,469,875,0,0.00980432,5.93495e-06,0.00858752,0
26000,469,875,0,0.0113698,8.25423e-05,0.0107575,0
27000,469,875,0,0.00806673,0.000242759,0.0089192,0
28000,469,875,0,0.0109519,0.000242759,0.0111743,0
29000,469,875,0,0.00647435,0.000221551,0.00509857,0
29000,541,542,1312.99,0.0514203,-0.00129937,0.0102553,0
30000,469,875,0,0.00836554,6.04673e-05,0.0069044,0
31000,469,875,0,0.0122923,0.000149961,0.0147945,0
32000,469,875,0,0.0105831,0.000311045,0.0107478,0
33000,469,875,0,0.0150276,0.000150828,0.0163849,0
34000,469,875,0,0.00980686,7.42202e-05,0.00857755,0
35000,469,875,0,0.00869668,0.000311045,0.00926918,0
36000,469,875,0,0.00442379,0.000737597,0.00451153,0
37000,469,875,0,0.00536602,0.000737597,0.00691987,0
38000,469,875,0,0.00673072,0.000737597,0.00744063,0
39000,469,875,0,0.00745921,7.42202e-05,0.00601068,0
40000,469,875,0,0.00824917,7.42202e-05,0.00649354,0
41000,469,875,0,0.00602289,0.000576513,0.00657293,0
42000,469,875,0,0.00846868,0.000576513,0.0103208,0
43000,469,875,0,0.00668797,0.000772295,0.00881078,0
44000,469,875,0,0.00797931,0.000150828,0.00733305,0
45000,469,875,0,0.0110343,0.000150828,0.0103113,0
46000,469,875,0,0.0104535,0.000150828,0.0112459,0
47000,469,875,0,0.0105484,0.000150828,0.010619,0
48000,469,875,0,0.0100761,0.000150828,0.0112482,0
49000,469,875,0,0.00765437,0.000319548,0.00820324,0
50000,469,875,0,0.00724599,0.000476705,0.00792101,0
51000,469,875,0,0.00870334,0.000319548,0.00800088,0
