generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,5.84138,-391.422,0.586765,1
1000,1,8.92402,-357.243,1.04168,0.38
2000,0,4.88469,-360.726,0.251583,0.308846
3000,0,4.39059,-360.937,0.617617,0.176
4000,0,4.38107,-361.094,0.578977,0.18
5000,1,7.11739,-356.602,1.25774,0.319
6000,1,10.3608,-356.922,0.965899,0.458
7000,0,5.13574,-360.552,0.137182,0.362
8000,0,4.5704,-360.355,0.67539,0.151
9000,0,5.17682,-360.588,0.072541,0.22425
10000,0,5.19066,-360.802,0.343916,0.210379
11000,0,3.66032,-361.138,1.59073,0.188
12000,0,4.96661,-361.957,0.0851326,0.15
13000,1,8.38473,-356.515,2.60534,0.23
14000,1,8.47604,-356.762,0.592662,0.436
15000,0,3.48567,-361.027,0.529142,0.220785
16000,0,3.98296,-360.728,1.15527,0.2655
17000,0,5.17581,-360.814,0.0492808,0.201
18000,0,3.5819,-360.346,1.57543,0.222111
19000,1,8.54522,-358.91,1.2589,0.399
20000,0,5.36586,-362.076,0.145643,0.25
21000,0,4.30114,-363.734,0.652838,0.185
22000,0,4.78609,-361.54,0.574944,0.155
23000,1,10.7085,-356.616,0.161451,0.238
24000,0,4.7839,-360.675,0.0178346,0.199143
25000,1,10.6217,-358.67,0.206449,0.344
26000,1,10.1036,-357.468,0.252871,0.399
27000,1,10.2455,-356.09,0.49241,0.220158
28000,0,4.3272,-362.565,0.384097,0.218077
29000,0,3.91725,-360.47,1.41112,0.329
30000,1,10.8077,-357.994,0.120064,0.218
31000,0,4.64672,-360.581,0.368325,0.224667
32000,0,3.92823,-362.662,0.527255,0.2424
33000,0,4.82838,-361.269,0.202496,0.193
34000,0,4.24755,-361.506,0.973138,0.2195
35000,0,4.26173,-360.961,0.206345,0.1585
36000,0,2.6215,-363.309,1.52305,0.1788
37000,0,3.94973,-364.33,0.25049,0.193
38000,0,3.64502,-363.041,0.659793,0.163
39000,0,4.69217,-361.94,0.295296,0.238813
40000,0,4.80778,-363.173,0.428702,0.1715
41000,0,4.35218,-361.307,0.406385,0.203
42000,0,4.77739,-360.704,0.332288,0.163
43000,0,3.26745,-362.192,1.0927,0.166
44000,0,1.66063,-361.634,2.69819,0.177444
45000,0,-0.311719,-364.718,3.6168,0.176833
46000,0,3.14327,-364.318,0.338117,0.157
47000,0,3.11284,-362.3,1.0853,0.1805
48000,0,3.88217,-361.305,1.10213,0.163
49000,0,3.45192,-362.397,0.561475,0.265
50000,0,4.45075,-362.572,0.200253,0.173
51000,0,4.94617,-363.542,0.188335,0.155
52000,0,5.342,-367.076,0.0369249,0.219
53000,0,2.09715,-361.949,1.77991,0.192333
54000,1,8.91567,-356.625,1.73557,0.1875
55000,1,10.3563,-356.656,0.111673,0.405
56000,1,8.17695,-358.872,1.70081,0.328
57000,1,9.96563,-357.07,0.672902,0.397
58000,0,4.88648,-360.393,0.516321,0.26
59000,0,5.10878,-360.983,0.204605,0.163
60000,0,2.77837,-360.535,2.53454,0.165
61000,0,5.15011,-361.678,0.524878,0.196
62000,0,3.9084,-360.909,1.48914,0.207105
63000,0,4.48331,-360.898,0.75825,0.173
64000,0,5.20983,-360.31,0.137755,0.179
65000,0,4.58402,-361.131,0.731265,0.179
66000,1,9.45886,-360.4,1.00566,0.208667
67000,1,9.91978,-360.829,0.475781,0.367
68000,0,3.20487,-360.357,2.09258,0.230857
69000,0,4.73836,-361.145,0.380526,0.2005
70000,0,3.24409,-362.56,0.809264,0.224
71000,0,4.68146,-362.731,1.09808,0.2235
72000,0,3.691,-360.768,1.52713,0.169
73000,0,4.93113,-361.867,0.342049,0.197
74000,0,5.33912,-360.344,0.00873297,0.208
75000,0,4.0421,-361.026,1.05887,0.2092
76000,1,5.42835,-356.787,1.88735,0.233818
77000,1,9.55529,-357.388,0.893224,0.423
78000,0,5.08409,-360.878,0.247884,0.2294
79000,0,4.58949,-361.001,0.130524,0.203
80000,0,5.27111,-362.199,0.228305,0.2628
81000,2,14.5357,-356.265,0.705068,0.334
82000,1,8.53676,-357.775,0.263308,0.42
83000,2,14.6036,-357.5,1.6733,0.375
84000,1,9.68177,-357.111,0.616289,0.451
85000,1,11.1548,-358.826,0.503888,0.451
86000,1,8.48722,-358.215,1.75669,0.48
87000,0,2.77123,-360.694,2.06439,0.408
88000,0,4.06684,-363.095,0.431355,0.156
89000,0,4.71898,-361.373,0.148107,0.220667
90000,1,7.05561,-356.704,0.733289,0.28
91000,0,5.37924,-360.529,0.053965,0.233286
92000,0,5.25183,-362.292,0.430042,0.177
93000,1,9.80912,-356.514,0.430946,0.371
94000,1,9.49527,-358.184,0.595502,0.443
95000,1,10.9015,-356.354,0.687018,0.46
96000,0,5.39945,-361.777,0.271119,0.237667
97000,0,5.1613,-361.308,0.321922,0.214
98000,0,4.4905,-361.306,0.143159,0.166
99000,0,5.07509,-361.171,0.386518,0.21565
100000,1,11.2366,-358.056,0.19997,0.184
101000,1,5.33421,-356.601,1.42463,0.244333
102000,1,9.15644,-358.432,0.0527044,0.24425
103000,0,4.82544,-362.477,0.874612,0.219
104000,0,4.97881,-360.828,0.274575,0.168
105000,1,3.54321,-359.089,0.174142,0.204
106000,0,4.69319,-361.885,0.695288,0.23
107000,1,7.51281,-356.614,3.55101,0.34
108000,1,8.56374,-356.589,0.760369,0.399
109000,0,5.59152,-361.632,0.0429963,0.245857
110000,0,4.24488,-360.759,0.49783,0.2565
111000,0,4.71961,-360.44,0.365293,0.166
112000,0,5.24974,-360.274,0.0716168,0.219583
113000,1,9.46689,-356.458,1.25242,0.385
114000,1,9.90974,-356.761,0.40413,0.435
115000,0,4.44116,-362.89,0.383469,0.218538
116000,0,4.2422,-360.86,0.436075,0.1824
117000,0,4.0931,-361.262,0.940735,0.154
118000,0,3.27982,-362.584,0.994385,0.169
119000,0,4.00781,-360.316,1.13475,0.1864
120000,0,4.76981,-367.342,1.22033,0.1646
121000,0,4.47373,-361.613,0.504738,0.247
122000,0,3.83235,-361.741,0.735538,0.19275
123000,0,3.84976,-361.377,0.445369,0.2865
124000,0,4.83837,-361.007,0.551196,0.1965
125000,0,4.25168,-360.861,0.319502,0.307
126000,0,4.63768,-360.3,0.526978,0.205857
127000,1,8.92729,-359.029,1.31792,0.2005
