generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,7.39012,-3636.83,0.312609,1
1000,1,16.8453,-906.814,0.979483,0.186
2000,1,15.1517,-891.691,2.4489,0.388
3000,2,32.5724,-793.228,1.81088,0.285571
4000,1,15.0703,-792.856,2.35596,0.28018
5000,1,17.4834,-792.025,0.462208,0.245
6000,1,17.4855,-791.865,1.05454,0.286667
7000,1,17.199,-791.745,0.96597,0.2948
8000,1,16.6558,-791.571,1.54743,0.2775
9000,1,17.3054,-793.103,0.959038,0.2755
10000,1,28.2152,-793.343,0.176834,0.273873
11000,1,28.0837,-790.289,0.577433,0.29
12000,1,27.2594,-789.242,1.45153,0.276
13000,1,19.7095,-791.792,0.0616765,0.2838
14000,1,18.2044,-793.157,1.24883,0.283
15000,1,18.4341,-791.77,0.781333,0.265
16000,1,27.8904,-790.691,1.85835,0.29925
17000,1,27.6614,-790.305,2.54613,0.331
18000,2,46.0899,-792.789,1.39174,0.325
19000,1,28.9025,-790.321,1.35606,0.339
20000,1,29.282,-788.434,1.1763,0.284
21000,1,30.4782,-788.979,0.292136,0.315
22000,1,30.365,-788.755,0.772986,0.289
23000,1,17.9342,-792.243,2.31945,0.289389
24000,1,19.6536,-791.75,0.639348,0.264
25000,1,19.1301,-795.51,0.963671,0.301
26000,1,21.0169,-793.18,0.854876,0.292455
27000,2,48.7977,-787.77,0.530656,0.405
28000,1,31.8336,-787.147,1.9836,0.415
29000,1,31.9409,-789.494,1.23883,0.426
30000,1,32.978,-788.905,0.519056,0.396
31000,1,32.9976,-788.611,0.694544,0.44
32000,1,33.3048,-786.783,0.522839,0.409
33000,1,32.5861,-787.016,0.825292,0.369
34000,1,32.8216,-788.058,0.714334,0.405
35000,1,31.6866,-788.873,1.28916,0.395
36000,1,32.9302,-789.578,0.579998,0.39
37000,0,14.6375,-792.555,2.58348,0.291333
38000,1,20.2515,-792.718,1.42309,0.297385
39000,1,21.229,-792.814,0.567095,0.272
40000,1,21.2886,-791.844,0.437864,0.31
41000,1,21.3754,-792.031,0.580901,0.256
42000,1,20.3498,-791.236,1.43677,0.289
43000,1,20.8135,-792.094,1.24991,0.304
44000,0,15.4257,-793.993,1.57182,0.209857
45000,0,17.3373,-794.418,0.115802,0.242
46000,0,17.114,-793.36,0.0341529,0.209
47000,1,31.8099,-790.082,0.713152,0.25
48000,1,33.3214,-791.02,0.467404,0.449
49000,1,21.16,-793.887,0.541716,0.27932
50000,1,21.4101,-791.237,0.738957,0.277
51000,1,23.1548,-792.995,0.766868,0.28425
52000,1,23.9461,-791.922,0.428398,0.279
53000,3,53.466,-797.621,2.09445,0.303
54000,2,39.0508,-789.086,1.76373,0.368
55000,2,37.9842,-788.792,0.907998,0.325
56000,2,38.7836,-788.411,1.38425,0.323
57000,3,56.8458,-788.671,1.46154,0.399
58000,1,21.5552,-793.28,2.44958,0.328
59000,1,23.3869,-791.39,0.948364,0.302
60000,2,35.855,-791.627,1.52016,0.279
61000,2,45.7427,-791.922,3.58499,0.4
62000,0,17.1542,-792.442,0.113506,0.41
63000,0,15.5736,-792.427,1.75868,0.23
64000,0,16.9351,-793.047,0.374646,0.195
65000,1,33.4548,-789.645,0.665765,0.241
66000,0,17.2443,-792.964,0.114379,0.24
67000,0,16.5269,-792.482,0.831669,0.209
68000,1,32.7579,-786.358,0.354574,0.331667
69000,1,30.7742,-788.946,2.13871,0.36
70000,1,32.967,-788.741,0.923079,0.438
71000,1,32.4203,-788.365,0.9193,0.454
72000,1,29.8118,-788.841,2.83816,0.417
73000,1,34.457,-789.014,0.555714,0.42
74000,1,32.4772,-788.225,1.92376,0.429
75000,1,34.2782,-788.027,0.429004,0.496
76000,1,32.0098,-790.481,1.427,0.385
77000,2,49.0153,-790.107,1.37176,0.431
78000,2,48.9838,-788.699,1.64099,0.439
79000,1,32.2069,-789.089,1.53437,0.432
80000,1,32.4616,-788.57,1.93605,0.422
81000,1,33.9631,-789.678,0.559156,0.438
82000,2,49.4711,-791.545,1.60792,0.451
83000,3,61.9584,-791.457,2.43655,0.466
84000,2,51.2966,-791.551,0.792079,0.462
85000,2,51.3946,-789.131,0.286724,0.44
86000,3,67.1443,-790.116,1.92734,0.505
87000,2,48.8325,-792.973,0.611997,0.455
88000,1,31.6563,-787.925,2.60767,0.452
89000,1,33.5291,-789.143,0.571947,0.437
90000,1,33.0145,-790.219,0.733913,0.451
91000,1,32.7373,-788.579,0.86295,0.403
92000,2,49.7305,-788.704,1.31789,0.474
93000,1,33.3006,-788.664,1.07277,0.47
94000,1,32.9009,-789.759,1.55474,0.428
95000,1,34.5388,-789.675,0.208617,0.37
96000,1,32.9983,-789.108,1.4141,0.403
97000,2,50.1187,-792.951,1.53494,0.441
98000,2,47.5592,-788.963,0.692299,0.468
99000,2,47.7091,-791.846,3.36228,0.444
100000,3,63.9344,-790.286,2.75898,0.507
101000,1,32.013,-790.349,0.423187,0.438
102000,1,31.3429,-790.473,1.12612,0.406
103000,1,31.6079,-790.356,1.63762,0.365
104000,1,30.2295,-791.062,2.04085,0.343
105000,0,16.0215,-791.346,0.630861,0.20614
106000,0,16.0571,-791.811,0.666098,0.188
107000,0,16.1312,-792.103,0.111925,0.18438
108000,1,30.689,-787.187,0.656304,0.298
109000,0,16.148,-791.154,0.350971,0.215333
110000,0,15.1906,-791.364,0.946275,0.184
111000,0,16.3781,-792.399,0.0333115,0.162
112000,0,16.3486,-791.972,0.0128384,0.236
113000,0,14.2437,-794.048,2.70556,0.240652
114000,0,15.9493,-791.888,0.0513406,0.1808
115000,0,15.701,-791.302,0.494545,0.155
116000,0,16.4386,-791.481,0.143073,0.178
117000,0,16.5749,-791.961,0.221971,0.188
118000,0,16.9629,-793.205,0.327914,0.2462
119000,0,17.2859,-793.228,0.0140547,0.298
120000,0,15.135,-792.545,0.929417,0.18075
121000,0,17.1308,-793.786,0.305258,0.268
122000,1,33.1536,-790.552,0.873899,0.364
123000,1,33.2298,-790.584,1.01612,0.462
124000,0,16.8671,-793.186,0.426232,0.291
125000,1,33.286,-790.393,0.555449,0.29
126000,0,17.0108,-792.082,0.10744,0.200444
127000,1,33.2863,-787.918,0.443462,0.304
128000,1,32.8555,-787.919,0.452233,0.428
129000,0,16.2981,-792.444,0.282185,0.216
130000,1,29.2586,-788.953,2.76867,0.216
131000,0,15.8089,-791.088,0.380489,0.188037
132000,0,16.9615,-795.213,0.392279,0.237714
133000,0,16.7795,-796.006,0.200169,0.217
134000,0,15.0759,-793.692,0.712012,0.175667
135000,0,16.4637,-791.543,0.30823,0.2106
136000,0,15.9783,-791.1,0.256015,0.188562
137000,0,15.8435,-793.117,0.535006,0.181667
138000,0,16.0993,-791.182,0.0247139,0.189
139000,0,15.2568,-792.533,1.04515,0.182
140000,0,15.3709,-791.121,0.807184,0.19
141000,0,15.6549,-791.684,0.540625,0.261
142000,0,14.3794,-791.995,2.36216,0.193429
143000,0,16.2473,-791.656,0.341673,0.168
144000,0,14.3047,-791.901,1.46295,0.179333
