generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,8.26494,-464.403,1,1
1000,1,15.4619,-432.179,1.39322,0.176
2000,0,7.70974,-435.221,0.0460128,0.17941
3000,0,7.23178,-432.813,0.043899,0.149
4000,0,7.22081,-432.513,0.0313822,0.166
5000,0,6.76175,-433.765,0.665195,0.167566
6000,0,6.37757,-433.206,0.379735,0.171138
7000,0,5.97141,-434.789,0.616748,0.1585
8000,0,6.097,-431.58,0.385286,0.163
9000,0,6.5858,-435.033,0.38754,0.328
10000,0,6.06845,-431.551,0.481407,0.149
11000,0,6.59649,-431.67,0.0197481,0.168
12000,0,6.63358,-430.73,0.185369,0.149
13000,1,10.0491,-414.222,1.27822,0.245
14000,1,15.1272,-418.562,0.0752206,0.255
15000,3,22.3423,-413.796,1.7523,0.362
16000,3,26.9695,-415.642,1.6492,0.429
17000,2,22.848,-414.322,0.473073,0.43
18000,3,33.6806,-416.839,0.698257,0.394
19000,1,11.5628,-413.404,0.752825,0.393
20000,1,12.4549,-415.491,1.40145,0.404
21000,1,13.7069,-411.651,0.721491,0.391
22000,1,14.1027,-414.694,0.682145,0.332
23000,3,28.5693,-416.085,2.20074,0.265368
24000,2,19.4276,-422.038,1.67313,0.394
25000,1,11.694,-416.745,1.45879,0.322
26000,1,13.4604,-415.565,0.878431,0.387
27000,1,13.5439,-415.213,0.41509,0.306238
28000,1,8.68819,-416.134,3.12537,0.379
29000,2,21.1113,-414.313,1.21766,0.362
30000,2,24.4011,-416.189,0.788461,0.392
31000,1,13.3023,-417.312,0.711672,0.377
32000,2,24.2403,-422.009,0.307017,0.368
33000,1,10.5635,-413.056,0.993468,0.385
34000,1,14.0097,-415.229,0.843322,0.425
35000,1,13.3205,-412.81,0.229592,0.316
36000,2,19.4169,-415.023,1.04027,0.335
37000,1,13.6194,-413.379,0.259429,0.355
38000,2,18.8847,-413.974,1.32434,0.373
39000,3,26.78,-414.004,1.0854,0.315
40000,2,19.8651,-417.699,0.561399,0.362
41000,1,14.1154,-410.891,0.711799,0.313
42000,1,15.0585,-414.829,0.176781,0.325
43000,1,14.5339,-413.273,0.391671,0.33
44000,4,37.9905,-410.997,2.75672,0.374
45000,2,20.4379,-411.509,2.09132,0.37
46000,1,13.1997,-414.357,0.325897,0.381
47000,1,13.8665,-414.729,0.331477,0.217
48000,1,10.2954,-413.209,0.577911,0.372
49000,1,13.8681,-414.213,0.882476,0.3524
50000,1,13.621,-417.415,0.790698,0.327
51000,1,12.6179,-416.761,0.531395,0.345
52000,1,12.2,-415.263,1.20279,0.364
53000,1,13.441,-414.623,0.717383,0.362
54000,1,12.0597,-416.886,1.24102,0.350552
55000,1,12.0738,-419.449,1.10655,0.372
56000,3,29.9574,-414.595,1.33026,0.38
57000,2,13.6532,-412.682,2.45951,0.433
58000,2,21.1033,-411.82,1.79568,0.391
59000,5,43.9814,-415.157,2.58846,0.432
60000,1,8.45585,-411.241,0.408737,0.405
61000,1,12.9165,-416.55,0.832832,0.311
62000,1,14.9618,-415.813,0.71815,0.357
63000,1,15.0303,-421.952,0.477753,0.358
64000,1,11.8629,-417.844,0.936486,0.3455
65000,2,22.2761,-410.203,1.70133,0.392
66000,3,25.4067,-409.73,4.24815,0.375
67000,1,12.0956,-417.509,0.411802,0.359053
68000,2,20.5874,-415.09,0.656085,0.328
69000,1,12.4085,-415.196,0.952088,0.325167
70000,1,16.1418,-421.059,0.231564,0.326
71000,3,28.7169,-413.926,1.86465,0.349
72000,2,16.669,-413.541,0.44675,0.252
73000,4,26.1064,-412.627,2.86803,0.385
74000,2,21.9356,-414.161,2.02333,0.378
75000,3,28.6131,-411.967,2.9543,0.383
76000,3,20.4709,-412.25,3.25756,0.435
77000,3,22.5715,-411.192,3.18967,0.424
78000,1,15.5449,-417.526,0.586058,0.3925
79000,1,10.5794,-414.069,0.757021,0.372
80000,1,14.0597,-421.975,1.04031,0.304
81000,1,9.94451,-413.874,3.5214,0.342333
82000,2,22.1302,-408.527,0.557228,0.371
83000,3,28.2863,-410.965,2.38731,0.403
84000,3,27.0332,-409.638,1.87969,0.408
85000,3,28.123,-412.23,2.55302,0.422
86000,2,20.1163,-410.427,3.09691,0.403
87000,4,41.4434,-409.277,1.67247,0.448
88000,7,62.6473,-410.344,2.54499,0.509
89000,4,34.1253,-411.662,2.99123,0.446
90000,1,13.4256,-415.861,1.38601,0.349
91000,2,14.5343,-411.821,0.440714,0.27
92000,2,19.2397,-417.961,1.99472,0.357
93000,3,20.4802,-416.902,2.67241,0.438
94000,1,13.9692,-415.58,0.967017,0.348
95000,3,26.301,-419.788,1.00736,0.169033
96000,5,42.9212,-420.725,3.9513,0.442
97000,2,20.2982,-418.342,1.26419,0.454
98000,1,14.1913,-416.057,1.35536,0.349
99000,1,15.7472,-415.441,0.0404054,0.3022
100000,1,14.8862,-419.697,0.847538,0.350857
101000,1,10.2144,-417.625,2.91405,0.366833
102000,1,14.8149,-416.601,1.17574,0.368
103000,1,15.2421,-416.119,0.876111,0.398
104000,1,14.2613,-415.792,0.135512,0.296667
105000,1,14.1729,-414.449,0.476153,0.313
106000,1,11.9951,-414.174,1.75381,0.286
107000,1,10.1471,-408.622,1.87734,0.256
108000,1,10.9126,-408.609,1.10789,0.111
109000,1,9.34711,-413.787,4.12002,0.3548
110000,3,31.3983,-414.402,0.564221,0.348
111000,1,8.87216,-416.834,2.2988,0.280333
112000,1,12.2184,-414.81,0.856359,0.151
113000,1,8.04951,-417.232,3.55904,0.369333
114000,3,29.0753,-411.167,2.18529,0.337364
115000,2,20.0083,-417.003,2.34805,0.454
116000,1,9.49119,-416.62,0.172998,0.476
117000,1,11.9273,-413.454,0.320757,0.34925
118000,1,13.3597,-417.253,0.695098,0.387
119000,1,10.1468,-408.695,1.40349,0.157
120000,1,11.2235,-414.969,2.0537,0.348
121000,1,17.1172,-426.185,0.263216,0.354
122000,2,19.1546,-413.654,1.41546,0.415
123000,1,12.9184,-415.377,1.51098,0.368
124000,1,9.28461,-415.939,0.1847,0.353
125000,5,37.4756,-417.217,1.58944,0.397
126000,6,47.7001,-418.703,3.56343,0.384
127000,4,38.5183,-414.442,1.84936,0.441
128000,3,25.1831,-419.045,1.19774,0.439
129000,1,14.4165,-414.748,0.512461,0.404
130000,2,21.71,-413.683,1.47612,0.363
131000,2,19.7968,-415.131,2.24656,0.402
132000,2,19.8139,-418.035,1.02936,0.42
133000,1,14.1774,-418.358,0.103698,0.335286
134000,1,12.4972,-414.087,0.67964,0.379
135000,1,12.8482,-416.589,1.57595,0.326
136000,2,19.4319,-418.698,3.15752,0.387
137000,3,28.6679,-416.167,1.33033,0.44
138000,1,12.6992,-417.712,1.74182,0.354333
139000,1,14.9158,-415.656,0.390881,0.387
140000,2,21.9655,-414.2,0.889309,0.303
141000,1,7.51094,-414.435,1.85779,0.288
142000,2,20.6158,-416.833,1.07318,0.388
143000,2,18.918,-413.229,1.20988,0.34
144000,1,9.57433,-413.892,1.88383,0.357
145000,1,13.8044,-414.809,0.657284,0.353935
146000,1,12.5083,-416.211,1.71524,0.381
147000,1,13.7269,-413.985,0.576635,0.313333
148000,2,23.2527,-415.375,0.736383,0.377
149000,1,10.3164,-415.107,1.76527,0.377
150000,1,11.5531,-412.8,0.123142,0.263
151000,1,10.5808,-415.939,0.819757,0.332
152000,2,20.0144,-408.902,3.76162,0.419
153000,3,30.0317,-410.559,1.21074,0.424
154000,2,20.5929,-408.014,1.63086,0.419
155000,3,29.2191,-412.39,0.710823,0.407
156000,2,23.408,-413.546,1.13245,0.399
157000,3,28.2733,-411.439,0.902837,0.375
158000,2,22.1408,-413.788,1.6209,0.352923
159000,1,13.2867,-413.289,0.212966,0.363
160000,3,28.5758,-419.892,1.39055,0.368
161000,1,15.044,-414.73,0.33544,0.358769
162000,1,14.2515,-415.484,0.791919,0.36508
163000,1,11.7193,-417.646,1.50113,0.392667
164000,1,12.4016,-413.674,0.977341,0.396
165000,2,21.0678,-413.462,0.872582,0.396
166000,1,14.0812,-416.489,0.271674,0.357
167000,2,22.4197,-412.081,0.782725,0.360167
168000,4,23.7985,-416.411,2.40312,0.451
169000,2,18.7508,-414.197,5.51981,0.42
170000,2,14.4863,-417.936,3.5779,0.442
171000,1,12.2315,-418.224,0.700703,0.344
172000,1,12.8772,-414.185,0.840523,0.348333
173000,1,12.3128,-414.55,0.7758,0.344
174000,1,13.5303,-412.823,0.613684,0.35
175000,1,12.1463,-414.069,3.14285,0.326
176000,1,12.0631,-413.981,0.776593,0.345
177000,2,19.4314,-415.02,1.20811,0.331333
178000,1,13.3858,-413.32,0.67893,0.41
179000,2,20.5104,-414.028,2.6939,0.334
180000,2,16.9169,-413.605,2.48523,0.371
181000,1,11.3333,-413.877,1.74718,0.36
182000,4,34.5612,-411.74,4.03793,0.399
183000,3,27.712,-408.847,2.69837,0.449
184000,4,40.9925,-415.175,1.86661,0.444
185000,8,66.4687,-411.687,5.71665,0.478
186000,6,51.4118,-414.509,3.27022,0.469
187000,4,37.4124,-412.198,2.04208,0.493
188000,2,20.6814,-412.95,1.03934,0.39
189000,2,19.0556,-409.059,2.598,0.393
190000,3,29.9307,-408.275,1.48967,0.45
191000,3,32.6726,-410.479,1.54677,0.446
192000,3,31.5354,-410.704,1.4162,0.434
193000,2,20.5011,-408.572,1.56897,0.375
194000,2,19.3384,-410.317,2.42929,0.403
195000,5,40.2584,-412.164,1.67231,0.447
196000,2,22.3284,-413.204,1.79896,0.467
197000,3,31.7987,-414.582,1.15521,0.456
198000,4,36.5279,-411.392,2.13172,0.418
199000,2,20.0942,-411.321,1.67442,0.354
200000,1,13.5171,-425.467,0.300015,0.351583
201000,1,9.35647,-409.578,2.00124,0.344
202000,1,10.362,-415.467,3.377,0.3453
203000,1,11.5072,-409.956,1.43132,0.334
204000,4,35.041,-411.365,3.55332,0.412
205000,3,23.2604,-408.284,4.58653,0.454
206000,3,30.8558,-417.468,2.30934,0.401
207000,1,12.0404,-408.927,1.06065,0.304333
208000,1,11.7197,-417.539,1.10846,0.245
209000,1,10.9264,-416.262,1.73312,0.331
210000,1,13.492,-415.408,0.837978,0.368
211000,1,13.0176,-415.3,3.07364,0.362
212000,2,23.4551,-413.049,1.07741,0.339
213000,1,13.2684,-416.275,2.17538,0.342
214000,2,21.0551,-411.639,2.96433,0.391
215000,1,13.8547,-419.41,0.685992,0.358379
216000,3,25.4595,-419.021,1.8905,0.379
217000,1,12.0249,-411.166,0.619253,0.361667
218000,1,10.2655,-413.254,1.20122,0.315
219000,4,38.5502,-414.392,3.22165,0.411
220000,1,11.7967,-409.642,0.453983,0.343
221000,2,18.2591,-415.087,1.5085,0.333
222000,1,14.4158,-422.591,0.264362,0.349667
223000,1,12.1992,-422.197,1.34576,0.371
224000,1,10.5051,-417.552,0.384541,0.363333
225000,2,21.7173,-414.762,0.880058,0.315
226000,2,17.7256,-413.174,2.38342,0.437
227000,1,13.0852,-414.105,1.73573,0.296
228000,2,18.8734,-421.504,0.976011,0.393
229000,1,15.4028,-420.647,0.319315,0.356348
230000,2,20.3634,-414.574,1.85398,0.383
231000,1,10.9893,-410.495,1.39415,0.326
232000,3,30.0762,-412.844,2.79028,0.328
233000,1,10.7964,-419.56,0.141424,0.3586
234000,4,31.7005,-415.351,2.86021,0.378
235000,1,13.2177,-416.146,0.596956,0.4
236000,1,13.1201,-414.783,0.810106,0.269
237000,2,24.6485,-423.206,0.509682,0.331
238000,2,22.7592,-414.001,1.74065,0.302
239000,1,3.52046,-414.469,3.4614,0.339
240000,1,10.7476,-408.375,1.15005,0.327
241000,1,15.5473,-413.473,0.0535141,0.226
242000,1,13.2113,-413.349,0.138588,0.301
243000,1,12.849,-416.594,1.64423,0.32
244000,1,10.8973,-415.937,0.994976,0.346
245000,1,9.60009,-411.086,1.26917,0.219
246000,2,20.7123,-411.048,1.86423,0.360087
247000,2,23.2107,-408.22,1.30317,0.415
248000,3,29.9998,-407.997,2.83027,0.427
249000,4,39.043,-413.325,1.81471,0.391
250000,3,30.1491,-411.956,0.512317,0.392
251000,4,39.8655,-411.461,2.26326,0.439
252000,2,18.8779,-415.761,1.79057,0.333966
253000,1,13.1189,-414.917,0.591011,0.338
254000,1,14.0678,-417.108,1.26562,0.326
255000,2,20.9643,-413.551,1.03449,0.39825
256000,3,29.2828,-414.166,1.99245,0.391
257000,2,22.6252,-415.818,0.488455,0.423
258000,3,23.7589,-413.052,2.31518,0.377
259000,3,28.6588,-415.745,3.27231,0.393
260000,1,13.5513,-415.436,1.57465,0.342
261000,1,13.331,-413.458,0.919242,0.360143
262000,1,12.3019,-409.598,0.957526,0.258
263000,1,11.6882,-417.044,1.94381,0.381
264000,2,19.7995,-419.194,2.64172,0.345
265000,1,15.2042,-415.799,0.121854,0.307
266000,1,13.8972,-416.511,2.63542,0.377
267000,1,11.4996,-414.528,1.35649,0.373
268000,1,14.5217,-415.279,1.04628,0.356
269000,2,17.7767,-413.06,2.86669,0.375
270000,3,26.0524,-416.988,2.52442,0.425
271000,1,9.64325,-415.49,2.25109,0.356606
272000,2,20.77,-422.544,0.676608,0.374
273000,2,20.4047,-412.404,1.29826,0.341
274000,2,19.562,-413.241,2.4255,0.407
275000,3,28.7168,-410.686,0.688702,0.362
276000,2,18.4336,-409.951,0.696282,0.394
277000,4,38.8454,-412.495,2.34399,0.422
278000,3,30.3155,-411.936,0.891425,0.417
279000,2,21.7219,-407.256,1.16606,0.425
280000,2,24.6507,-410.633,0.793188,0.422
281000,2,20.8515,-412.247,0.732285,0.411
282000,3,29.1674,-412.409,1.34216,0.465
283000,3,31.8728,-414.309,2.13897,0.413
284000,3,29.2493,-409.058,2.62887,0.43
285000,3,24.4723,-410.367,3.73188,0.464
286000,4,32.5198,-413.838,1.2884,0.423
287000,2,17.7829,-411.045,0.56108,0.446
288000,4,28.5311,-411.435,4.97052,0.391
289000,2,18.4444,-410.42,0.40264,0.429
290000,3,28.9261,-417.641,1.62808,0.441
291000,1,11.6588,-421.623,1.23441,0.345687
292000,1,14.8976,-418.373,0.518714,0.385
293000,2,22.8862,-415.269,1.53176,0.405
294000,3,25.7928,-414.746,1.57796,0.437
295000,1,11.9495,-409.672,1.42108,0.348
296000,1,13.7802,-415.739,0.495468,0.351
297000,2,24.0446,-416.814,0.289861,0.378
298000,1,14.8032,-418.82,0.220676,0.396
299000,1,12.1732,-411.151,0.433111,0.21
300000,1,11.5084,-416.208,0.8158,0.349233
301000,1,14.0985,-418.691,0.694235,0.33
302000,1,8.72208,-408.352,2.61367,0.324
303000,1,11.5037,-418.497,1.78297,0.360667
304000,1,11.6628,-413.058,1.04417,0.374
305000,4,36.4779,-413.128,1.50953,0.44
306000,1,10.5802,-420.641,1.62719,0.343818
307000,2,16.9428,-419.217,5.39553,0.381
308000,1,13.6699,-416.89,0.363587,0.307
309000,1,10.9572,-418.336,2.72803,0.343
310000,1,11.7261,-410.772,0.925394,0.3065
311000,1,14.6442,-419.737,1.1118,0.33615
312000,1,11.4965,-416.647,0.977386,0.325
313000,1,14.3059,-416.602,0.769622,0.353
314000,1,10.5738,-414.495,1.96201,0.358
315000,3,32.321,-417.347,2.00513,0.458
316000,2,21.0812,-414.856,1.12753,0.375333
317000,3,28.4951,-411.461,1.83669,0.392
318000,4,31.458,-416.238,5.01505,0.404
319000,1,13.6271,-413.318,1.52423,0.378
320000,1,16.3847,-418.753,0.302883,0.384
321000,1,11.5163,-413.252,1.71382,0.349
322000,1,13.7396,-414.457,1.34437,0.321
323000,2,24.2391,-417.036,0.510851,0.478
324000,1,14.6677,-414.48,0.477147,0.360273
325000,3,32.1598,-414.447,1.252,0.426
326000,4,36.2935,-413.193,3.21339,0.462
327000,4,38.3131,-415.327,1.89143,0.476
328000,2,23.6378,-415.009,0.410361,0.348846
329000,3,26.4348,-408.157,1.39741,0.42
330000,1,11.6771,-420.244,0.999733,0.408
331000,1,9.54009,-416.092,0.748669,0.381
332000,1,10.2584,-420.929,3.79414,0.368609
333000,1,11.4426,-420.161,2.6649,0.334
334000,2,22.2319,-420.863,1.45025,0.367
335000,1,13.1598,-424.052,0.520018,0.403
336000,1,12.7841,-414.401,0.919032,0.3878
337000,2,23.5999,-418.176,1.95246,0.386
338000,1,14.6452,-413.91,0.362301,0.299
339000,3,24.1817,-417.926,2.86334,0.361
340000,2,16.9475,-415.078,0.676663,0.365
341000,2,21.8866,-413.834,0.7629,0.418
342000,3,27.8082,-409.486,3.08213,0.391
343000,2,14.9491,-407.443,3.85967,0.402
344000,1,13.8028,-414.498,0.568687,0.339
345000,2,19.549,-408.885,2.36458,0.426
346000,4,35.1334,-409.81,1.83653,0.432
347000,2,22.7218,-408.833,0.194131,0.444
348000,2,23.2375,-409.904,1.6124,0.408
349000,3,30.9246,-412.769,1.6862,0.424
350000,3,19.9677,-412.668,1.31688,0.455
351000,2,22.7861,-412.496,1.4798,0.425
352000,2,20.0986,-414.326,1.35019,0.358
353000,2,20.8444,-416.293,2.22462,0.347
354000,2,22.5659,-416.03,1.36866,0.456
355000,2,22.7722,-413.937,0.943285,0.409
356000,1,12.3435,-419.28,0.421946,0.352476
357000,1,10.1182,-416.5,0.611329,0.375
358000,1,11.7986,-410.925,0.38384,0.323
359000,1,13.0382,-413.466,0.900818,0.346278
360000,1,15.0875,-415.064,0.731346,0.383
361000,6,55.3322,-420.59,3.10023,0.457
362000,2,20.7738,-416.799,0.961641,0.475
363000,1,11.9109,-417.951,0.545969,0.34
364000,1,14.2275,-418.215,1.60448,0.307
365000,1,14.7361,-416.408,0.756232,0.358143
366000,1,13.0893,-414.766,0.170594,0.362
367000,3,28.1584,-415.979,1.69989,0.443
368000,1,13.3304,-419.708,1.22496,0.354667
369000,3,29.389,-418.789,0.350599,0.391
370000,4,39.0081,-409.39,1.06996,0.441
371000,1,13.8347,-415.286,0.111938,0.453
372000,1,8.68924,-408.418,1.25888,0.33775
373000,2,23.0662,-418.317,0.448713,0.238
374000,1,13.921,-415.656,1.06323,0.38
375000,1,8.38267,-416.61,0.626095,0.327
376000,2,21.4531,-416.069,1.51618,0.336
377000,1,12.8271,-413.029,0.541887,0.371
378000,1,13.0228,-412.538,1.27354,0.358
379000,1,13.6603,-418.366,1.73839,0.336
380000,2,18.0437,-407.331,1.99123,0.41
381000,3,20.011,-408.661,3.51031,0.379
382000,1,12.6644,-414.365,1.93542,0.418
383000,2,19.4636,-412.585,2.04941,0.387
384000,3,30.3336,-417.918,0.855914,0.369
385000,2,16.1953,-416.073,2.67171,0.363241
386000,1,11.3942,-418.105,1.039,0.3516
387000,1,12.7914,-414.485,1.04079,0.334
388000,1,14.6727,-418.482,2.07331,0.359
389000,2,21.7157,-410.568,2.31109,0.383
390000,1,13.1153,-412.906,0.471675,0.381
391000,3,29.7026,-412.554,0.671498,0.185
392000,2,22.9678,-414.915,1.67069,0.379
393000,3,32.0542,-414.522,1.88736,0.414
394000,1,10.3904,-414.219,1.21735,0.338
395000,1,14.6378,-413.349,0.930264,0.229
396000,1,10.4848,-413.734,1.46924,0.327
397000,2,22.6391,-418.959,1.00996,0.372
398000,1,13.5922,-415.695,0.655436,0.246
399000,2,21.9995,-414.198,1.63833,0.366
400000,1,14.1058,-412.843,0.28433,0.352667
401000,2,19.2058,-418.079,1.46502,0.350588
402000,1,10.9616,-413.223,0.697219,0.418
403000,2,21.8019,-414.242,1.64529,0.352
404000,1,14.3517,-413.249,0.337964,0.393
405000,1,12.0617,-417.191,0.490262,0.371
406000,1,14.1399,-412.546,0.412853,0.274
407000,1,9.15467,-409.291,1.54903,0.358725
408000,1,11.4092,-409.669,0.716052,0.197
409000,4,35.5236,-413.999,1.91686,0.252
410000,1,12.3532,-413.704,0.123528,0.294
411000,1,12.2778,-413.713,1.40907,0.391
412000,1,16.2225,-423.515,0.689671,0.316
413000,1,13.7606,-415.844,0.687992,0.373
414000,2,20.3175,-415.206,1.03719,0.342
415000,1,11.0668,-420.465,0.63838,0.362
416000,1,12.2284,-422.113,0.926799,0.3548
417000,1,11.7226,-420.758,1.56905,0.347
418000,1,15.6621,-423.58,0.546491,0.353
419000,1,13.409,-417.569,1.54155,0.29075
420000,1,11.9088,-414.053,3.07834,0.389
421000,1,8.24372,-415.078,2.07745,0.3375
422000,1,12.5727,-413.583,0.267858,0.34
423000,1,9.91366,-409.987,0.237839,0.354
424000,5,40.6431,-415.212,3.7308,0.386
425000,3,25.3816,-409.553,2.431,0.404
426000,3,32.0672,-410.614,0.390617,0.369
427000,5,48.7061,-411.685,2.38274,0.398
428000,5,40.5554,-412.988,2.59231,0.404
429000,3,25.9969,-413.709,1.58698,0.402
430000,2,16.6641,-418.063,2.019,0.389
431000,1,14.6503,-421.981,0.0294364,0.369462
432000,1,13.4884,-413.752,0.319104,0.368935
433000,1,12.1095,-411.78,0.544239,0.323
434000,1,11.7452,-414.318,1.7755,0.18
435000,2,21.1817,-415.45,1.6837,0.347
436000,1,13.5936,-410.109,0.255256,0.372
437000,4,25.7527,-410.349,5.80586,0.353
438000,2,21.0463,-414.694,2.83458,0.421
439000,1,10.2496,-410.25,1.56427,0.358474
440000,1,13.568,-415.005,0.615226,0.273
441000,2,21.9904,-411.062,0.782321,0.349
442000,2,20.8541,-412.316,0.807924,0.372
443000,4,38.2614,-415,2.81024,0.44
444000,3,28.8762,-408.923,1.58479,0.45
445000,3,29.748,-412.621,1.75625,0.432
446000,4,40.2449,-412.756,1.8492,0.434
447000,3,24.6149,-410.726,3.65353,0.414
448000,3,29.5497,-413.108,2.56026,0.418
449000,4,33.0281,-413.116,3.00776,0.432
450000,3,28.987,-412.925,2.31543,0.417
451000,3,29.7224,-409.975,1.49901,0.425
452000,2,19.7515,-410.589,0.303846,0.395
453000,2,20.2003,-410.332,0.631753,0.374
454000,2,20.2177,-412.002,2.03921,0.367
455000,3,22.7663,-409.612,1.67913,0.399
456000,2,21.3901,-414.197,1.83878,0.316222
457000,2,18.0238,-411.056,1.44793,0.406
458000,2,21.594,-410.781,1.30248,0.416
459000,3,31.7305,-410.062,1.74099,0.4
460000,2,19.3006,-416.303,1.46868,0.401
461000,2,17.4661,-409.42,2.36653,0.427
462000,3,28.666,-415.643,1.07833,0.429
463000,1,14.7775,-424.562,0.834471,0.335167
464000,1,5.93006,-417.165,1.12814,0.348242
465000,1,9.65572,-415.603,2.13893,0.317
466000,2,20.8989,-413.394,1.2109,0.448
467000,2,17.9805,-417.182,1.93076,0.37
468000,1,10.6329,-409.019,0.401105,0.23
469000,1,12.8241,-417.905,0.649913,0.351286
470000,2,22.1425,-416.325,0.876248,0.364
471000,1,8.61453,-417.133,3.80805,0.386
472000,1,14.887,-413.841,0.476742,0.35
473000,1,12.2496,-415.192,1.64514,0.3212
474000,2,22.6161,-412.997,0.630194,0.393
475000,2,20.7538,-414.973,0.599618,0.371
476000,1,12.5831,-417.463,0.84302,0.36
477000,1,10.6599,-418.488,0.724197,0.416
478000,1,13.1336,-414.737,0.818083,0.362
479000,2,18.6639,-410.139,1.89996,0.396
480000,1,10.7516,-409.634,2.0068,0.349
481000,1,12.7689,-417.273,1.37295,0.385
482000,1,13.4346,-415.125,1.15876,0.355
483000,3,28.9394,-410.987,3.68755,0.409
484000,1,14.7258,-413.705,0.473351,0.395
485000,2,17.1313,-411.345,0.967955,0.338
486000,3,28.6367,-415.858,0.722847,0.372
487000,3,27.7608,-410.339,3.64996,0.451
488000,1,12.4943,-411.93,0.325605,0.343562
489000,1,12.6352,-415.232,1.12272,0.314
490000,3,29.082,-413.603,1.92481,0.416
491000,1,10.1186,-416.378,0.815977,0.41175
492000,1,15.0183,-415.131,0.705471,0.305
493000,1,13.3707,-412.992,0.298759,0.323
494000,2,22.6592,-410.198,1.72756,0.33075
495000,1,13.0368,-415.348,1.25465,0.371
496000,1,11.9685,-414.773,1.29131,0.352333
497000,1,11.8564,-416.321,0.0630337,0.3465
498000,2,22.9467,-415.93,1.37782,0.413
499000,2,16.6455,-414.978,0.883831,0.324333
500000,1,12.7701,-417.938,0.475313,0.36128
501000,2,22.3276,-413.656,0.781972,0.383
502000,5,44.0924,-413.227,2.85369,0.405
503000,2,23.9369,-408.363,1.00879,0.438
504000,2,19.0964,-412.913,2.51707,0.4
505000,2,22.9505,-409.03,1.22512,0.372
506000,2,23.0104,-408.475,1.35728,0.404
507000,2,21.7815,-409.094,1.42208,0.363
508000,3,28.5146,-407.325,0.6446,0.407
509000,3,25.3723,-409.721,1.88354,0.446
510000,3,25.4505,-410.522,1.11408,0.39
511000,2,22.7157,-408.044,1.10543,0.429
512000,3,27.6959,-408.635,1.71367,0.409
513000,3,29.5579,-413.291,3.59999,0.443
514000,2,21.9609,-413.925,0.676267,0.479
515000,4,33.3055,-408.789,2.95243,0.4
516000,4,33.8532,-415.945,5.15056,0.44
517000,1,13.8799,-415.44,0.973586,0.443
518000,1,13.1331,-413.805,1.01908,0.33
519000,1,10.1032,-408.418,1.7041,0.282
520000,1,14.7917,-427.397,1.08102,0.357
521000,1,13.7928,-426.106,1.57062,0.356
522000,1,7.71359,-413.768,1.56469,0.335333
523000,1,12.6281,-413.894,0.174077,0.364
524000,1,15.4235,-414.265,0.10237,0.303
525000,1,11.8726,-414.003,1.45334,0.38
526000,1,13.3499,-409.418,0.296601,0.168
527000,2,19.6943,-409.735,1.27083,0.33
528000,2,21.2754,-409.107,4.27303,0.4
529000,3,27.3834,-409.581,3.80994,0.449
530000,2,17.4523,-416.712,2.31766,0.353533
531000,2,14.4408,-415.672,2.99016,0.352
