generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1,33,0,0.032,0,0.005,0
1000,1,33,0,0.0607653,0.00706019,0.0209103,0
2000,1,33,0,0.0377011,0.0160195,0.00893994,0
3000,1,33,0,0.038218,0.0211316,0.00465758,0
4000,1,33,0,0.0651656,0.00353626,0.0194068,0
5000,1,33,0,0.0632898,0.003747,0.0231594,0
6000,1,33,0,0.0503965,0.00575823,0.00144062,0
6000,88,NA,67.0159,0.160584,-0.000113756,0.722912,0
7000,1,33,0,0.0613687,0.00067324,0.00371014,0
7000,10,NA,67.4351,0.223348,-0.0280409,0.0716007,0
8000,1,33,0,0.0797704,-0.00169642,0.0135351,0
9000,1,33,0,0.112027,-0.00573334,0.0454505,0
10000,1,33,0,0.0464973,0.0205594,0.012607,0
11000,1,33,0,0.0567715,0.00825212,0.0152149,0
12000,1,33,0,0.166057,-0.0104522,0.0547222,0
13000,1,33,0,0.140045,-0.0133718,0.0232471,0
14000,1,33,0,0.0634806,0.00266152,0.00925369,0
15000,1,33,0,0.0738658,-0.00298662,0.00372404,0
16000,1,33,0,0.119146,-0.005119,0.0287108,0
17000,1,33,0,0.057798,0.00514522,0.000335189,0
18000,1,33,0,0.0549808,0.0088142,0.00972837,0
19000,1,33,0,0.0521189,0.00958115,0.0234848,0
20000,1,33,0,0.045131,0.0205833,0.00855305,0
21000,1,33,0,0.0409644,0.0253888,0.0055399,0
21000,89,92,57.9741,0.201374,0.014522,0.0977354,0
22000,1,33,0,0.046876,0.00924811,0.0146953,0
23000,1,33,0,0.105387,-0.00220257,0.0390684,0
24000,1,33,0,0.0859969,-0.00324838,0.0206818,0
25000,1,33,0,0.116714,-0.00580059,0.0360201,0
26000,1,33,0,0.0539443,0.00931184,0.00153496,0
27000,1,33,0,0.0830307,0.00297031,0.0449552,0
28000,1,33,0,0.0911693,0.000148173,0.0330588,0
29000,1,33,0,0.0568195,0.00994112,0.0362206,0
30000,1,33,0,0.0475193,0.0287916,0.021601,0
31000,1,33,0,0.059005,0.00511203,0.0201771,0
32000,1,33,0,0.0924797,-0.00170069,0.0265872,0
33000,1,33,0,0.0831122,-0.00356854,0.0126103,0
33000,101,NA,66.0319,0.0486682,-0.0163292,0.0358836,0
34000,1,33,0,0.0709031,-0.00199935,0.0123752,0
34000,2,NA,65.0509,0.179341,0.00100862,0.0111193,0
35000,1,33,0,0.0536608,0.00356272,0.00224817,0
36000,1,33,0,0.0692451,-0.000853318,0.00867236,0
37000,1,33,0,0.0888441,-0.00404425,0.0148817,0
37000,1,NA,62.3162,0.0398648,0.00550164,0.267533,0
38000,1,33,0,0.147195,-0.012928,0.0270015,0
39000,1,33,0,0.1279,-0.0102387,0.0214013,0
39000,16,NA,66.7571,0.507078,-0.0101746,1.09649,0
40000,1,33,0,0.126209,-0.0101212,0.0315924,0
41000,1,33,0,0.115978,-0.00565197,0.0539378,0
42000,1,33,0,0.123905,-0.0101626,0.0131431,0
43000,1,33,0,0.0818331,-0.00589711,0.0114431,0
44000,1,33,0,0.093435,-0.00423728,0.011443,0
