generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,108,196,0,0.032,0,0.005,0
1000,108,196,0,0.0589201,0.00897523,0.0617921,0
1000,108,NA,97.352,0.0114169,-0.00837853,0.232781,0
2000,108,196,0,0.11241,0.00256815,0.112847,0
3000,108,196,0,0.104398,0.00441052,0.127827,0
4000,108,196,0,0.100485,0.00547166,0.128945,0
5000,108,196,0,0.0759234,0.00608361,0.0837387,0
5000,108,NA,105.277,0.0959654,-0.00262507,0.451238,0
6000,108,196,0,0.0887167,0.00633406,0.0984955,0
6000,108,NA,74.814,0.00530778,-0.000502825,0.0731673,0
7000,108,196,0,0.0887968,0.00425935,0.104814,0
8000,108,196,0,0.0818036,0.00598017,0.0990099,0
9000,108,196,0,0.088784,0.00448702,0.106467,0
10000,108,196,0,0.0735229,0.00472856,0.0766371,0
11000,108,196,0,0.0906279,0.00533632,0.0963737,0
12000,108,196,0,0.10665,0.00288366,0.129689,0
13000,108,196,0,0.12706,-0.000451284,0.100806,0
13000,108,NA,56.1228,0.00655645,-0.00743656,0.0674726,0
14000,108,196,0,0.17556,-0.000451284,0.149305,0
14000,108,NA,33.8119,0.00913658,-0.0158015,0.0710139,0
15000,108,196,0,0.0808687,0.0142187,0.125889,0
16000,108,196,0,0.126061,-0.000451284,0.105026,0
17000,108,196,0,0.114197,0.000191472,0.103967,0
18000,108,196,0,0.0789378,0.00734268,0.0978032,0
19000,108,196,0,0.068131,0.00349336,0.0607544,0
19000,108,NA,79.6339,0.139767,0.00304342,0.244484,0
20000,108,196,0,0.100679,-0.000102179,0.0743732,0
21000,108,196,0,0.143248,0.000643021,0.115388,0
22000,108,196,0,0.112072,-0.00045648,0.0854517,0
23000,108,196,0,0.10411,0.00163849,0.0904739,0
23000,108,NA,93.9583,0.0237383,0.00011974,0.152259,0
24000,108,196,0,0.153936,-0.000551655,0.127736,0
25000,108,196,0,0.164421,-0.000551655,0.125883,0
25000,108,NA,56.9112,0.00115049,-0.00794795,0.0271985,0
26000,108,196,0,0.143709,-0.000551655,0.101203,0
26000,108,NA,60.7719,0.0214019,-0.0100107,0.0878739,0
27000,108,196,0,0.114039,0.00120956,0.101599,0
27000,108,NA,23.2801,0.00622227,-0.00982889,0.0772339,0
28000,108,196,0,0.16981,-0.00311961,0.116449,0
29000,108,196,0,0.106253,0.00113994,0.0951466,0
30000,108,196,0,0.102378,0.00113994,0.0805544,0
30000,108,NA,75.5751,0.0672458,-0.000832745,0.112372,0
31000,108,196,0,0.135085,-0.000549725,0.114461,0
32000,108,196,0,0.196086,-0.00243653,0.132338,0
33000,108,196,0,0.141071,-0.000894842,0.105612,0
34000,108,196,0,0.120671,0.00066674,0.0977656,0
35000,108,196,0,0.183339,-0.0015146,0.14668,0
36000,108,196,0,0.214792,-0.00367712,0.153197,0
37000,108,196,0,0.208495,-0.00387478,0.149678,0
38000,108,196,0,0.209787,-0.00387478,0.132634,0
39000,108,196,0,0.14266,-0.00196977,0.107611,0
40000,108,196,0,0.131464,-0.0015802,0.0826267,0
41000,108,196,0,0.164691,-0.0015802,0.121382,0
42000,108,196,0,0.120219,0.00040281,0.115207,0
43000,108,196,0,0.174944,-3.44733e-05,0.173527,0
44000,108,196,0,0.188451,-0.00182435,0.157031,0
45000,108,196,0,0.274919,-0.00148646,0.230347,0
46000,108,196,0,0.262872,-0.00148646,0.215839,0
47000,108,196,0,0.207419,-0.00133431,0.163748,0
48000,108,196,0,0.141345,-0.00148646,0.111003,0
49000,108,196,0,0.227595,-0.00228091,0.168119,0
50000,108,196,0,0.179815,-0.00228091,0.119865,0
51000,108,196,0,0.123166,-0.0012894,0.107084,0
52000,108,196,0,0.128569,-0.00198067,0.0627008,0
53000,108,196,0,0.0646723,0.0170249,0.0788195,0
54000,108,196,0,0.107475,0.0010199,0.0900396,0
54000,108,NA,47.473,0.0408849,0.00452359,0.147112,0
55000,108,196,0,0.127323,0.00103498,0.116714,0
55000,108,NA,32.1396,0.0596212,-0.00327386,0.118756,0
56000,108,196,0,0.132024,0.00103498,0.117508,0
56000,108,NA,25.8335,0.0892689,0.00731414,0.131523,0
57000,108,196,0,0.101263,0.00171354,0.0914429,0
57000,108,NA,28.0149,0.0853875,-0.00158303,0.124722,0
58000,108,196,0,0.0927618,0.00244375,0.0929491,0
59000,108,196,0,0.111765,0.000787603,0.0925413,0
60000,108,196,0,0.0704805,0.00738093,0.0822903,0
61000,108,196,0,0.0730478,0.00296877,0.0689452,0
62000,108,196,0,0.0713362,0.00602638,0.0860886,0
63000,108,196,0,0.0640991,0.00905648,0.0730258,0
64000,108,196,0,0.0938119,0.00319393,0.0961623,0
65000,108,196,0,0.095533,0.0038873,0.0946019,0
66000,108,196,0,0.112864,0.00258021,0.119872,0
66000,423,NA,129.413,0.0328419,-0.0072333,0.112146,0
67000,108,196,0,0.124641,0.00207161,0.136039,0
67000,196,NA,127.996,0.0787295,-0.00458625,0.0809464,0
68000,108,196,0,0.105673,0.00165652,0.0989978,0
69000,108,196,0,0.0590615,0.0105404,0.0686728,0
70000,108,196,0,0.0472789,0.0174931,0.0541744,0
71000,108,196,0,0.0743945,0.00184156,0.057047,0
72000,108,196,0,0.093122,0.00393053,0.111321,0
