generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,3.00305,-377.102,0.44172,1
1000,0,2.43784,-340.968,0.835238,0.298
2000,0,2.94103,-344.622,0.067282,0.329
3000,0,2.36242,-341.528,0.550966,0.322
4000,0,2.93536,-341.647,0.103493,0.37
5000,0,3.07956,-341.215,0.200232,0.338732
6000,0,2.59631,-341.335,0.0752629,0.3405
7000,0,2.47604,-340.549,0.799032,0.345951
8000,0,2.2433,-341.06,1.00241,0.376
9000,0,2.28097,-340.617,0.955207,0.307299
10000,0,3.08002,-340.554,0.208266,0.3055
11000,0,3.02236,-340.616,0.194856,0.299
12000,1,5.04315,-337.54,1.06082,0.369
13000,1,2.84684,-336.827,1.19298,0.47
14000,0,2.78551,-341.34,0.022796,0.381
15000,0,1.51858,-340.699,1.43995,0.249667
16000,0,2.71276,-341.088,0.278281,0.2937
17000,0,2.14851,-342.269,0.922749,0.282
18000,0,1.74949,-341.986,0.99071,0.272667
19000,0,1.84698,-341.747,0.803399,0.234
20000,0,1.86519,-341.105,1.07807,0.305
21000,0,2.84316,-341.198,0.394822,0.314
22000,0,2.20137,-342.258,0.220605,0.277647
23000,0,2.89718,-340.825,0.265894,0.2875
24000,1,5.04238,-343.313,0.313129,0.363
25000,0,2.59117,-340.931,0.177352,0.379
26000,0,2.35795,-343.38,0.0124373,0.285
27000,0,2.35472,-341.973,0.136723,0.2854
28000,0,1.85542,-341.718,0.556255,0.212
29000,0,1.1927,-341.218,1.67442,0.309667
30000,0,2.70577,-342.152,0.508716,0.262
31000,0,2.48483,-341.976,0.557775,0.333
32000,0,3.12949,-340.534,0.0606114,0.312
33000,0,2.54111,-340.88,0.588811,0.2906
34000,0,2.52829,-341.182,0.090034,0.252
35000,0,2.58915,-343.027,0.021572,0.292667
36000,0,1.91275,-341.261,1.05892,0.263
37000,0,2.34531,-340.805,0.846514,0.297
38000,0,2.72055,-341.185,0.400853,0.311941
39000,0,2.41099,-341.419,0.694208,0.2986
40000,0,2.33854,-341.098,0.940049,0.310667
41000,0,3.19764,-342.25,0.00423899,0.346
42000,0,2.11693,-340.7,1.19419,0.325
43000,1,-0.457864,-338.183,1.57757,0.3405
44000,0,2.81094,-343.037,0.300425,0.3485
45000,1,2.7097,-343.558,2.13785,0.319
46000,0,2.58731,-340.511,0.757509,0.374
47000,0,3.06769,-342.558,0.15651,0.301926
48000,0,1.99113,-340.481,1.2509,0.318
49000,0,2.87569,-340.955,0.221179,0.499
50000,0,3.05609,-341.9,0.0253448,0.312
51000,0,2.68267,-340.991,0.203718,0.34975
52000,0,2.16472,-341.477,0.668484,0.311333
53000,0,2.86989,-341.707,0.26462,0.285
54000,0,3.07731,-340.82,0.133762,0.322875
55000,0,1.9722,-341.969,0.433042,0.2698
56000,0,2.70731,-340.954,0.14964,0.275
57000,0,1.93061,-340.792,0.959221,0.219
58000,0,1.13038,-342.369,1.00628,0.261
59000,0,2.91752,-341.847,0.179752,0.249
60000,0,2.71239,-340.849,0.560777,0.261143
61000,0,2.84291,-340.861,0.365107,0.37
62000,0,0.850115,-341.1,2.30155,0.333667
63000,0,2.01412,-341.627,0.633451,0.3025
64000,0,2.57252,-340.711,0.393705,0.204
65000,0,2.02433,-343.007,0.0392529,0.306
66000,0,2.33817,-342.497,0.190077,0.271
67000,0,2.81075,-342.099,0.108903,0.307889
68000,0,1.97169,-341.877,0.319343,0.218
69000,0,2.38125,-342.72,0.103847,0.254
70000,0,2.64712,-341.025,0.493214,0.2685
71000,0,1.0314,-342.937,0.862857,0.26
72000,0,1.28205,-342.063,1.09867,0.3
73000,0,1.56471,-340.995,1.16304,0.351556
74000,0,1.3149,-341.904,1.3146,0.315333
75000,0,2.74621,-341.971,0.179665,0.232
76000,0,2.37944,-341.609,0.327222,0.26
77000,0,1.6092,-343.152,0.509149,0.2405
78000,0,2.78905,-340.838,0.254616,0.28
79000,0,2.54679,-342.292,0.225991,0.273
80000,0,1.09359,-341.303,1.62127,0.233625
81000,0,3.02872,-340.902,0.0626753,0.255
82000,0,2.46087,-340.974,0.69617,0.312
83000,0,2.29636,-340.905,0.748184,0.281
84000,0,2.70886,-341.494,0.13945,0.252
85000,0,2.07691,-343.36,0.259459,0.242
86000,0,1.64393,-341.617,0.731744,0.267
87000,0,2.69062,-340.648,0.345143,0.287818
88000,0,2.34774,-341.273,0.415785,0.24
89000,0,2.97303,-341.068,0.0479869,0.275
90000,0,2.57095,-340.573,0.738584,0.275
91000,0,1.59554,-341.531,0.193549,0.315
92000,0,3.07538,-340.437,0.225452,0.324
93000,0,0.909348,-344.513,1.15222,0.294182
94000,0,2.58322,-341.257,0.164616,0.261875
95000,0,0.0230389,-343.109,1.88447,0.221
96000,0,1.89992,-341.167,0.769101,0.219667
97000,0,2.56074,-340.826,0.634124,0.284
98000,0,2.56124,-341.155,0.413909,0.317
99000,0,3.14251,-341.111,0.0341076,0.284105
100000,0,2.45691,-342.96,0.0446407,0.232
101000,0,1.05979,-341.273,1.71918,0.254333
102000,1,4.13711,-343.48,1.32334,0.293
103000,0,2.72297,-341.427,0.211637,0.285273
104000,0,3.04399,-340.599,0.0621727,0.337
105000,0,1.95729,-341.75,0.528519,0.249
106000,0,2.36218,-343.789,0.180741,0.309
107000,0,2.71881,-340.839,0.296635,0.338
108000,0,2.53911,-341.214,0.210751,0.3272
109000,0,2.74824,-341.64,0.450622,0.365
110000,0,2.42355,-341.026,0.457276,0.353875
111000,0,0.777277,-343.256,1.50539,0.229
