generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1,37,0,0.0648251,0,0.005,0
1000,1,37,0,0.0877015,0.0277836,0.0760806,0
1000,67,78,23.3393,0.418939,-0.0127471,0.06435,0
2000,1,37,0,0.189735,-0.0376115,0.0173415,0
2000,41,101,14.2739,0.442623,-0.00544791,0.254272,0
3000,1,37,0,0.199294,-0.0570312,0.0110141,0
3000,41,101,14.9169,0.19416,0.0164321,0.0137045,0
4000,1,37,0,0.240663,-0.0439051,0.0380841,0
4000,41,65,15.353,0.308806,-0.00298096,0.0423693,0
5000,1,37,0,0.266247,-0.0527406,0.0473745,0
5000,41,101,14.7364,0.312908,0.0204963,0.160081,0
6000,1,37,0,0.251788,-0.0646944,0.00119072,0
6000,41,101,12.9416,0.22439,0.0191906,0.0529482,0
7000,1,37,0,0.260963,-0.0547342,0.0237825,0
7000,44,46,29.0309,0.886666,0.0352407,0.0491505,0
7000,41,101,11.7528,0.415124,-0.0145439,0.146531,0
8000,1,37,0,0.185053,-0.0476701,0.000687518,0
8000,41,101,14.117,0.281728,0.00554934,0.0253774,0
9000,1,37,0,0.104656,-0.0238572,0.0268378,0
9000,41,101,14.3905,0.394249,-0.0194345,0.0663837,0
10000,1,37,0,0.0910832,-0.0162077,0.000764697,0
10000,41,65,21.3482,0.373118,-0.0200486,0.119022,0
10000,101,106,15.9401,0.230158,0.0843729,0.00989223,0
11000,1,37,0,0.149714,-0.0398145,0.0185843,0
11000,41,101,12.8361,0.377312,-0.00761432,0.0895855,0
11000,110,NA,29.011,0.0877508,-0.0243981,0.787323,0
12000,1,37,0,0.204653,-0.0321788,0.0327877,0
12000,41,101,12.0572,0.476416,-0.0240507,0.140249,0
13000,1,37,0,0.0799964,-0.00433669,0.00061493,0
13000,6,NA,29.81,0.497584,-0.0124601,1.96882,0
13000,41,101,12.5524,0.342144,0.00838751,0.118352,0
14000,1,37,0,0.0747848,-0.00244014,0.00141871,0
14000,41,101,13.5107,0.428679,0.00152872,0.256235,0
15000,1,37,0,0.191535,-0.0416646,0.0382781,0
15000,41,101,12.3778,0.266719,0.0191371,0.0791399,0
16000,1,37,0,0.280996,-0.0532149,0.050093,0
16000,41,101,13.5935,0.371874,-0.011155,0.0282092,0
16000,8,NA,20.4218,0.36283,-0.0626548,0.136773,0
17000,1,37,0,0.343834,-0.0508397,0.0542975,0
17000,41,101,13.7116,0.400389,-0.0258222,0.0731514,0
18000,1,37,0,0.241694,-0.0546966,0.0405718,0
