generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,1,82,0,0.032,0,0.005,0
1000,1,82,0,0.159192,-0.0102727,0.0169441,0
2000,1,82,0,0.187668,-0.0181496,0.00764951,0
2000,22,NA,41.4567,0.781656,0.035894,0.206453,0
2000,27,NA,42.2015,0.594774,0.00988697,0.716193,0
3000,1,82,0,0.107801,-0.00784479,0.00400055,0
4000,1,82,0,0.0670722,0.0161265,0.0187185,0
5000,1,82,0,0.155789,-0.0116535,0.0417866,0
6000,1,82,0,0.233355,-0.0187352,0.0501317,0
7000,1,82,0,0.369823,-0.0349539,0.0803342,0
8000,1,82,0,0.498455,-0.0386824,0.108409,0
9000,1,82,0,0.241016,-0.0190442,0.0607896,0
10000,1,82,0,0.192767,-0.0171987,0.0522153,0
11000,1,82,0,0.205237,-0.0185735,0.0438249,0
12000,1,82,0,0.156406,-0.0179666,0.0155574,0
13000,1,82,0,0.290977,-0.0253564,0.0636022,0
14000,1,82,0,0.193312,-0.0190919,0.0271223,0
15000,1,82,0,0.147817,-0.0149287,0.0246574,0
16000,1,82,0,0.225807,-0.0159273,0.067957,0
17000,1,82,0,0.332449,-0.0282678,0.0592752,0
18000,1,82,0,0.0673419,0.00723076,0.00642123,0
19000,1,82,0,0.0942633,0.00284445,0.00640535,0
20000,1,82,0,0.0833815,0.00204877,0.0228164,0
21000,1,82,0,0.0668768,0.0184788,0.0092921,0
22000,1,82,0,0.145125,-0.0164801,0.0274941,0
23000,1,82,0,0.172825,-0.0131857,0.0393232,0
24000,1,82,0,0.168825,-0.0146105,0.030751,0
25000,1,82,0,0.120595,-0.00540759,0.0324164,0
25000,6,NA,39.8104,0.563284,-0.0117243,0.0271034,0
26000,1,82,0,0.150104,-0.00643028,0.0519928,0
27000,1,82,0,0.0790566,0.0108167,0.0263139,0
28000,1,82,0,0.0630572,0.0299032,0.0154748,0
29000,1,82,0,0.0910038,0.00220828,0.0193916,0
30000,1,82,0,0.0942893,0.00687092,0.0237571,0
30000,6,NA,41.7984,0.253927,-0.0180662,3.86089,0
31000,1,82,0,0.0999974,0.00101278,0.00898278,0
32000,1,82,0,0.175555,-0.0152432,0.0430861,0
33000,1,82,0,0.150187,-0.0121251,0.00801297,0
34000,1,82,0,0.0702347,0.00302116,0.00531494,0
35000,1,82,0,0.0680569,0.0183973,0.000662927,0
36000,1,82,0,0.203976,-0.0176383,0.0687853,0
37000,1,82,0,0.208902,-0.0203319,0.0077009,0
38000,1,82,0,0.290096,-0.0261932,0.0908819,0
39000,1,82,0,0.382741,-0.035867,0.0780065,0
40000,1,82,0,0.10159,-0.0125762,0.00549453,0
41000,1,82,0,0.292025,-0.03432,0.0268912,0
42000,1,82,0,0.306194,-0.0350823,0.0354751,0
43000,1,82,0,0.197458,-0.0200319,0.024999,0
43000,106,NA,41.686,0.543041,0.0162272,0.0272923,0
44000,1,82,0,0.143705,-0.0145725,0.000783793,0
45000,1,82,0,0.118129,-0.00950461,0.00181977,0
46000,1,82,0,0.218775,-0.0191129,0.0447877,0
47000,1,82,0,0.133169,-0.00936164,0.0178744,0
48000,1,82,0,0.238332,-0.0255852,0.0301795,0
49000,1,82,0,0.117065,-0.0107143,0.0234532,0
50000,1,82,0,0.294651,-0.0255747,0.097371,0
51000,1,82,0,0.219864,-0.0184821,0.0457498,0
51000,43,44,42.3685,0.654155,0.010154,0.378695,0
52000,1,82,0,0.168805,-0.0140533,0.0279847,0
53000,1,82,0,0.0967781,-0.00582381,0.000670611,0
54000,1,82,0,0.231626,-0.022995,0.038324,0
55000,1,82,0,0.162433,-0.0184766,0.00914862,0
56000,1,82,0,0.195576,-0.0178849,0.0378623,0
57000,1,82,0,0.146912,-0.0156298,0.0128024,0
58000,1,82,0,0.220556,-0.0246039,0.0422763,0
59000,1,82,0,0.218193,-0.0189795,0.0532929,0
60000,1,82,0,0.153854,-0.0105227,0.0119086,0
60000,42,NA,40.0545,0.132673,-0.0144324,0.530932,0
61000,1,82,0,0.163337,-0.0108024,0.0394761,0
62000,1,82,0,0.174002,-0.0153632,0.0637075,0
63000,1,82,0,0.128597,-0.00464711,0.0360825,0
63000,83,99,23.0762,0.63536,-0.0101088,0.479213,0
64000,1,82,0,0.121551,-0.00517118,0.0265043,0
65000,1,82,0,0.19974,-0.0153069,0.0560645,0
66000,1,82,0,0.359178,-0.0387616,0.0622208,0
67000,1,82,0,0.299217,-0.0268789,0.107072,0
68000,1,82,0,0.307975,-0.0364852,0.0288635,0
69000,1,82,0,0.351908,-0.0326908,0.0567942,0
70000,1,82,0,0.224523,-0.0236462,0.0299037,0
71000,1,82,0,0.448908,-0.0327462,0.119664,0
72000,1,82,0,0.155616,-0.0161726,0.00797281,0
73000,1,82,0,0.16339,-0.0172988,0.0325556,0
74000,1,82,0,0.247512,-0.0273828,0.0296244,0
75000,1,82,0,0.352372,-0.0273562,0.0921717,0
76000,1,82,0,0.253849,-0.023104,0.0598325,0
77000,1,82,0,0.145369,-0.0164718,0.0205593,0
78000,1,82,0,0.170968,-0.0148781,0.0183415,0
79000,1,82,0,0.131858,-0.0116443,0.00484074,0
80000,1,82,0,0.33792,-0.0231006,0.0992872,0
81000,1,82,0,0.0746975,0.0161786,0.0338137,0
82000,1,82,0,0.149204,-0.0159144,0.00260055,0
83000,1,82,0,0.0542555,0.0451348,0.010056,0
84000,1,82,0,0.10409,-0.00453772,0.00631742,0
85000,1,82,0,0.0801836,0.00290423,0.0168299,0
86000,1,82,0,0.0446065,0.0698796,0.000353683,0
87000,1,82,0,0.0519744,0.04526,0.00191036,0
88000,1,82,0,0.0567522,0.0182386,0.0234663,0
89000,1,82,0,0.0695055,0.0100435,0.00283439,0
90000,1,82,0,0.0773968,0.0145631,0.0293502,0
91000,1,82,0,0.321945,-0.0280897,0.0754062,0
92000,1,82,0,0.181157,-0.0220779,0.00832476,0
92000,20,NA,39.1315,0.0858467,0.00641741,0.00240808,0
93000,1,82,0,0.138385,-0.00755497,0.0163089,0
94000,1,82,0,0.325142,-0.0319385,0.0808051,0
95000,1,82,0,0.295145,-0.0320096,0.0271981,0
96000,1,82,0,0.249729,-0.026425,0.0474608,0
97000,1,82,0,0.121436,-0.0130238,0.00946343,0
98000,1,82,0,0.259123,-0.0253123,0.0775638,0
99000,1,82,0,0.208842,-0.0221583,0.0358863,0
100000,1,82,0,0.299128,-0.0230709,0.0902952,0
101000,1,82,0,0.288842,-0.0309282,0.0237369,0
102000,1,82,0,0.270565,-0.0295637,0.0538499,0
103000,1,82,0,0.195342,-0.0121523,0.0748864,0
104000,1,82,0,0.218696,-0.0127395,0.0858098,0
105000,1,82,0,0.0774463,0.0109301,0.000678083,0
105000,56,NA,42.2664,0.514969,-0.00126986,0.773256,0
