generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,4.16208,-387.178,1,1
1000,0,3.20612,-355.755,0.281599,0.216
2000,0,3.27202,-354.012,1.18861,0.216392
3000,0,3.73134,-351.869,0.426948,0.193602
4000,0,3.30059,-348.854,0.514361,0.194951
5000,0,2.73451,-346.455,0.207027,0.182333
6000,1,1.38995,-347.646,0.664366,0.139
7000,0,2.4374,-346.881,0.6496,0.143
8000,1,1.06018,-321.332,0.102584,0.2072
9000,2,5.40975,-321.432,0.477962,0.373
10000,4,6.4743,-316.249,2.09906,0.265444
11000,3,11.1076,-315.283,1.60981,0.403
12000,2,3.17662,-316.871,3.07696,0.408333
13000,2,3.8059,-315.61,1.45987,0.401
14000,2,9.23639,-313.193,0.313411,0.415
15000,2,9.32844,-321.022,1.0441,0.412
16000,2,8.684,-314.975,0.981852,0.382
17000,2,3.77768,-313.435,2.15862,0.418833
18000,3,8.23751,-312.31,1.02092,0.4275
19000,3,5.50558,-311.405,2.11978,0.439
20000,2,6.29998,-309.86,0.863024,0.441
21000,2,7.92256,-312.953,0.47484,0.397
22000,4,13.4928,-314.704,0.855879,0.466
23000,2,7.72112,-310.949,1.4467,0.448
24000,3,9.97885,-309.724,1.49908,0.452
25000,2,8.40516,-315.064,0.88918,0.277167
26000,2,3.05883,-310.372,0.804226,0.43
27000,2,7.52873,-319.206,0.779697,0.458
28000,3,13.0916,-310.973,2.69666,0.449
29000,2,4.539,-313.649,0.266714,0.44
30000,4,12.9045,-311.307,2.8221,0.452
31000,4,11.8823,-317.259,3.46764,0.473
32000,3,9.97288,-308.66,1.59263,0.485
33000,2,7.08519,-313.341,2.15375,0.444
34000,2,9.6624,-315.417,1.39181,0.409667
35000,3,9.88557,-318.325,4.0519,0.445
36000,6,19.0758,-312.54,1.87016,0.506
37000,4,13.9214,-307.376,2.16581,0.452
38000,3,5.76083,-300.42,2.06202,0.42135
39000,4,9.21449,-304.665,3.52659,0.423
40000,4,9.38791,-309.631,1.31528,0.469
41000,3,7.47561,-307.604,1.11206,0.458
42000,5,16.384,-307.608,3.95661,0.412
43000,3,8.76607,-303.028,0.743025,0.473
44000,5,21.7213,-307.321,2.64917,0.452
45000,4,7.23419,-306.932,1.91614,0.506
46000,3,5.27773,-301.952,3.42964,0.46
47000,3,8.86656,-304.108,2.36481,0.449
48000,2,2.86072,-312.437,0.625875,0.460636
49000,2,-0.700442,-317.696,2.57182,0.439867
50000,3,-1.50037,-321.09,3.27051,0.321
51000,2,3.69586,-314.691,1.75174,0.442
52000,3,9.08162,-318.396,0.813239,0.447
53000,3,5.65131,-311.894,1.50212,0.45
54000,2,7.19396,-316.462,0.679573,0.4438
55000,4,17.4524,-314.473,2.14617,0.468
56000,6,18.0041,-307.532,3.11331,0.495
57000,3,9.64302,-315.463,2.6578,0.497
58000,2,2.22557,-313.038,2.52622,0.479
59000,2,5.68921,-316.106,2.12921,0.382
60000,2,5.78899,-313.9,1.44699,0.42
61000,2,4.73777,-314.714,4.4399,0.378
62000,4,12.4331,-311.822,2.24058,0.465
63000,3,9.47827,-315.43,1.78243,0.463
64000,4,11.0177,-306.674,3.72694,0.429
65000,4,10.1151,-299.203,2.75222,0.433
66000,5,10.3451,-301.027,1.12767,0.446
67000,4,12.285,-300.488,1.3215,0.476
