generation,leftchild,rightchild,abstime,lambdainit,lambdashift,muinit,mushift
0,42,162,0,0.032,0,0.00590865,0
1000,42,162,0,0.0658317,0,0.0584629,0
1000,162,NA,308.347,0.00153231,0.00177586,0.0229282,0
2000,42,162,0,0.0604455,0,0.0515449,0
3000,42,162,0,0.0670197,0,0.0685356,0
4000,42,162,0,0.0728325,-0.000303492,0.063605,0
5000,42,162,0,0.0699019,-0.000303492,0.0579578,0
6000,42,162,0,0.0495698,0.00317506,0.081791,0
7000,42,162,0,0.0846712,-0.000303492,0.0843616,0
8000,42,162,0,0.0893907,-0.000303492,0.0848392,0
9000,42,162,0,0.0837049,-0.000303492,0.0664204,0
10000,42,162,0,0.0933682,-0.000451198,0.0772169,0
11000,42,162,0,0.091655,-0.000451198,0.0756716,0
12000,42,162,0,0.0802667,2.05549e-05,0.0777069,0
13000,42,162,0,0.0402072,2.05549e-05,0.0396058,0
13000,375,502,319.652,0.117709,0.00667568,0.100818,0
14000,42,162,0,0.0333035,1.89574e-05,0.0282644,0
14000,404,471,377.18,0.113515,-0.00412406,0.0140594,0
15000,42,162,0,0.0363055,1.89574e-05,0.0316618,0
15000,288,289,389.357,0.107301,-0.00124662,0.363955,0
15000,404,471,374.396,0.14932,0.00264933,0.00396309,0
15000,505,NA,397.852,0.0623306,0.000653217,0.00675568,0
16000,42,162,0,0.0226777,1.89574e-05,0.021242,0
16000,240,255,213.102,0.0342575,0.000248601,0.0354677,0
16000,502,504,360.487,0.0450883,0.00303736,0.0359745,0
16000,375,502,340.712,0.190814,0.000937032,0.150571,0
17000,42,162,0,0.0163602,1.89574e-05,0.00907379,0
17000,375,502,339.43,0.157699,0.000937032,0.10622,0
17000,363,580,220.626,0.0345688,-0.000657524,0.0055555,0
18000,42,162,0,0.0189569,0.000609341,0.0196329,0
18000,375,502,327.611,0.0901212,0.0042571,0.0364227,0
18000,516,NA,353.016,0.0167614,0.00235363,0.00140645,0
18000,363,580,293.01,0.0256,-0.000694056,0.00225036,0
19000,42,162,0,0.0137688,0.00209871,0.00942774,0
19000,404,471,371.526,0.188428,0.0042571,0.102996,0
20000,42,162,0,0.0136957,0.00209871,0.0109629,0
20000,404,471,364.202,0.175334,-0.0046079,0.029855,0
21000,42,162,0,0.0171771,0.00209871,0.0212285,0
21000,404,471,373.211,0.149909,-0.00282757,0.0523728,0
22000,42,162,0,0.0132728,0.00209871,0.00892144,0
22000,404,471,377.195,0.142771,0.00313511,0.0528348,0
23000,42,162,0,0.0314929,0.000975565,0.0320585,0
23000,516,NA,359.569,0.0173239,0.000177228,0.0211213,0
23000,255,NA,343.104,0.000710597,-0.0049305,0.000712103,0
23000,404,471,354.19,0.194762,0.00251567,0.069225,0
24000,42,162,0,0.0382921,0.000975565,0.0436584,0
24000,333,NA,354.107,0.0030967,-0.00181933,0.0544734,0
24000,375,502,340.401,0.134817,0.00251567,0.136842,0
25000,42,162,0,0.0391326,0.000975565,0.0484391,0
25000,404,471,376.675,0.166459,0.000764696,0.0812134,0
26000,42,162,0,0.0133604,0.00402793,0.0161744,0
26000,404,471,363.026,0.158587,-0.00299335,0.019372,0
27000,42,162,0,0.0122759,0.00555287,0.0193067,0
27000,404,471,370.427,0.15702,0.00117538,0.0168658,0
28000,42,162,0,0.0118493,0.00263741,0.00318029,0
28000,404,471,369.919,0.194802,0.00274377,0.153083,0
29000,42,162,0,0.0153384,0.00285998,0.01787,0
29000,277,NA,342.231,0.014192,0.00365919,0.0234825,0
29000,404,471,365.125,0.164019,0.00321028,0.0534065,0
30000,42,162,0,0.00988734,0.00270925,0.00517072,0
30000,375,NA,358.017,0.00956945,-7.67976e-05,0.00537394,0
30000,375,502,348.215,0.139466,0.000610503,0.0494479,0
31000,42,162,0,0.0124709,0.00278425,0.00829169,0
31000,379,404,352.667,0.133522,0.00298521,0.0942084,0
32000,42,162,0,0.0164597,0.00240409,0.0152525,0
32000,375,502,326.394,0.112258,0.0002246,0.0442644,0
32000,504,NA,395.612,0.032028,-0.000121705,0.0356873,0
33000,42,162,0,0.0138494,0.00333493,0.0147237,0
33000,404,471,370.696,0.22991,0.00350895,0.0907132,0
34000,42,162,0,0.0178784,0.00333493,0.0222675,0
34000,404,471,362.116,0.127897,0.00393056,0.0101342,0
35000,42,162,0,0.0240251,0.00333493,0.0354303,0
35000,404,471,376.763,0.124295,0.00375893,0.0622679,0
36000,42,162,0,0.018116,0.00466645,0.0195825,0
36000,162,NA,211.698,0.0379674,-0.00456979,0.0246547,0
36000,404,471,355.545,0.185651,0.000235785,0.0623467,0
37000,42,162,0,0.0123526,0.00467528,0.0115968,0
37000,404,471,372.795,0.179496,0.00192302,0.0255401,0
